,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,0.44,0.93,1.89,1.77,1.78,1.73,0.57,0.55,0.37,0.33,0.37,0.43,0.26,0.29,0.34,0.78
f_1,1.53,0.43,1.57,1.8,1.71,1.59,0.37,0.52,0.34,0.4,0.35,0.64,0.16,0.27,0.33,0.34
d_1,1.96,2.0,0.41,1.67,1.73,1.89,0.47,0.32,0.93,0.31,0.35,0.3,0.27,0.15,0.34,0.34
c_1,1.43,1.84,2.53,0.41,1.75,1.49,0.52,0.47,0.21,0.59,0.32,0.34,0.27,0.27,0.31,0.3
b_1,1.87,2.4,1.8,1.05,0.39,1.71,0.57,0.72,0.4,0.62,0.71,0.4,0.31,0.29,0.44,0.39
a_1,2.57,2.66,2.38,2.3,1.22,0.33,0.8,0.84,0.57,0.45,0.51,0.43,0.34,0.37,0.78,0.42
h_1,2.62,2.89,2.54,2.92,3.11,2.42,0.33,0.75,0.63,0.51,0.51,0.62,0.58,0.4,0.5,0.44
g_1,3.09,3.26,2.74,3.24,3.66,2.73,0.69,0.3,0.69,0.64,0.65,0.61,0.36,0.72,0.73,0.61
d_0,1.81,2.84,5.32,3.37,3.11,3.43,1.06,1.18,0.38,0.65,0.67,0.74,0.5,0.52,0.59,0.68
c_0,3.82,3.39,1.7,5.51,3.01,4.06,1.05,0.84,0.94,0.35,0.93,0.59,0.54,0.55,0.55,0.59
b_0,3.62,3.25,2.8,5.11,5.49,3.54,0.97,1.01,0.72,0.38,0.34,0.68,0.55,0.52,0.61,0.63
f_0,3.28,6.66,2.99,4.25,3.55,3.44,0.81,0.6,0.72,0.63,0.82,0.34,0.68,0.36,0.75,0.6
h_0,3.83,4.54,3.48,3.78,3.41,3.43,1.68,1.22,0.78,0.88,0.73,0.68,0.76,0.57,0.64,0.71
g_0,4.73,4.92,4.53,4.05,4.03,3.98,0.87,1.7,0.93,0.75,0.72,0.69,0.48,0.9,0.89,0.7
a_0,4.71,4.79,4.17,4.08,5.37,7.09,1.11,1.03,0.93,0.73,0.41,0.67,0.62,0.75,0.31,0.81
e_0,5.77,6.38,4.08,4.68,4.11,3.63,1.15,1.1,0.99,0.89,0.89,0.42,0.63,0.71,1.01,0.31
