,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.07,8.74,9.1,7.65,7.26,7.97,2.69,2.42,2.67,2.42,2.53,,1.79,2.55,2.57,1.87
e_1,5.68,1.07,7.25,7.57,8.81,7.46,3.24,3.18,4.35,2.59,2.12,3.27,2.48,,2.62,1.85
c_1,8.38,12.66,1.07,11.72,12.64,9.94,3.68,1.76,3.34,,3.12,2.55,2.25,1.74,2.01,2.04
d_1,9.78,16.72,9.55,1.07,8.69,7.91,3.75,,2.75,3.4,3.88,2.38,2.24,3.06,2.85,1.42
b_1,12.76,12.7,6.71,13.23,1.07,14.04,3.41,4.25,3.36,3.8,,2.99,2.08,2.64,2.38,2.04
a_1,12.93,15.76,11.54,17.08,7.54,1.07,5.5,5.4,5.15,,3.81,4.84,3.58,3.07,,
h_1,13.08,13.75,13.79,12.22,16.3,11.2,1.41,4.0,4.99,4.62,3.4,3.57,,2.67,3.07,2.84
d_0,15.79,9.09,15.56,,12.69,11.27,5.55,1.72,5.1,5.3,3.4,2.82,2.89,4.28,2.85,3.0
g_1,20.54,16.07,17.03,17.75,15.49,15.94,5.5,5.59,1.41,5.14,4.64,4.43,3.04,3.79,4.04,
c_0,16.05,17.1,,9.08,16.7,,4.74,4.66,5.11,1.74,5.0,5.8,2.73,3.42,3.79,3.25
b_0,20.38,17.25,20.74,14.63,,15.48,6.87,5.78,5.75,2.64,1.75,4.44,3.47,5.24,6.6,4.18
f_0,,16.5,19.65,22.58,15.3,13.27,7.13,6.46,5.1,4.03,5.06,1.69,3.62,6.6,,2.25
h_0,20.36,15.81,16.91,14.0,15.43,11.33,,4.81,6.83,4.88,5.33,6.02,,4.78,,5.26
e_0,36.1,,28.06,20.76,20.16,18.09,8.32,5.93,7.61,6.91,6.47,3.85,3.8,1.76,,3.56
a_0,21.39,18.16,27.85,25.13,30.04,,10.26,6.28,7.78,6.68,3.77,,,,1.73,
g_0,37.73,23.02,18.65,21.52,18.81,,6.95,5.89,,5.97,5.32,6.36,3.04,5.51,,
