,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.48,0.8,0.45,0.39,0.42,0.33,0.51,0.58,0.58,0.46,0.42,0.21,0.46,0.3,0.38,0.53
e_1,0.41,1.49,0.54,0.46,0.34,0.41,0.56,0.89,0.46,0.44,0.62,0.56,0.64,0.26,0.49,0.55
c_1,0.52,0.41,1.55,0.45,0.74,0.39,0.56,0.49,0.24,0.47,0.41,0.5,0.62,0.52,0.4,0.49
d_1,0.63,0.52,0.38,1.56,0.45,0.32,0.47,0.25,0.83,0.42,0.55,0.54,0.72,0.42,0.48,0.49
b_1,0.51,0.44,0.43,0.49,1.59,0.73,0.53,0.56,0.52,0.44,0.19,0.52,0.61,0.49,0.35,0.46
a_1,0.53,0.43,0.45,0.52,0.43,1.73,0.69,0.71,0.68,0.72,0.67,0.59,0.58,0.47,,0.57
h_1,1.02,0.68,0.61,0.83,0.69,0.51,1.69,0.84,0.74,0.98,0.85,0.79,0.66,0.81,0.69,1.11
d_0,0.75,0.68,1.28,0.47,0.72,0.5,0.71,1.48,0.92,0.77,0.96,0.9,1.03,0.86,0.67,0.88
c_0,0.77,0.93,0.56,0.7,0.7,0.61,1.1,0.88,1.55,0.86,1.52,1.01,1.0,0.67,0.8,1.0
g_1,0.74,0.72,0.89,1.07,0.64,0.51,0.65,0.85,0.88,1.79,0.81,1.26,0.87,0.86,0.69,0.3
b_0,1.02,0.76,0.96,0.71,0.44,0.38,0.98,0.94,0.85,0.86,1.65,0.84,1.05,0.92,1.41,0.91
f_0,0.58,0.75,0.93,0.92,0.7,0.55,1.02,0.98,0.83,0.72,0.97,1.6,0.91,1.6,0.8,0.77
h_0,1.18,0.71,0.84,0.76,0.65,0.69,0.43,1.09,1.07,1.03,1.0,0.83,0.69,0.7,0.83,1.22
e_0,1.1,0.38,0.8,1.09,0.79,0.68,0.97,1.1,1.07,0.8,0.75,0.88,1.01,1.66,1.01,1.13
a_0,1.06,0.81,0.95,0.92,0.82,,0.93,1.2,1.1,0.78,0.8,0.87,1.05,0.92,1.73,1.07
g_0,0.76,0.74,0.85,1.25,0.74,0.67,0.75,0.99,1.03,,0.99,1.22,0.81,0.73,0.72,
