,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.53,0.92,0.79,0.9,0.74,0.54,0.87,0.66,0.59,0.58,,0.5,0.63,0.52,0.61
e_1,0.65,1.0,1.01,0.99,1.08,0.83,0.71,0.59,1.08,0.7,0.54,0.7,0.55,0.56,0.53,
c_1,1.08,0.99,1.0,0.85,1.4,0.9,0.79,0.63,0.52,,0.64,0.67,0.59,0.44,0.57,0.54
d_1,1.26,1.01,1.18,1.0,1.02,1.01,0.72,0.54,,0.9,0.48,0.5,0.65,0.53,0.5,0.42
b_1,1.11,0.93,0.71,0.98,1.0,1.44,0.76,0.77,0.78,0.78,,0.64,0.72,0.62,0.67,0.52
a_1,1.36,1.2,1.11,0.99,0.69,1.0,0.91,0.8,0.88,0.93,,,0.99,,,
h_1,1.86,1.41,1.26,1.39,1.31,1.1,1.0,1.07,0.88,1.0,0.79,0.88,,0.69,0.88,0.83
g_1,1.14,1.7,1.6,1.84,1.3,1.24,0.94,1.0,1.02,0.94,0.87,1.2,0.8,1.04,,0.71
d_0,1.52,0.92,1.91,,1.29,1.13,1.14,0.98,1.0,0.98,0.9,0.94,1.22,1.01,1.18,0.64
c_0,1.69,1.44,,1.11,1.27,1.07,1.0,1.07,1.02,1.0,1.39,0.99,0.91,1.02,1.15,1.09
b_0,1.73,1.86,1.55,2.09,,,1.27,1.15,1.11,0.72,1.0,0.95,0.78,1.05,0.73,1.02
f_0,,1.43,1.5,1.99,1.57,,1.14,0.83,1.07,1.01,1.06,1.0,1.47,0.86,0.74,1.05
h_0,1.99,1.82,1.7,1.54,1.39,1.01,,1.25,0.82,1.1,1.28,0.68,,1.25,0.98,0.88
a_0,1.6,1.78,2.29,1.87,1.62,,1.44,0.96,0.99,0.98,0.95,1.16,0.8,1.0,1.02,
g_0,1.92,1.87,1.77,1.99,1.49,,1.13,,0.85,0.87,1.37,1.36,1.02,0.98,,0.98
e_0,1.64,,1.85,2.4,1.94,,1.21,1.41,1.56,0.92,0.98,0.96,1.13,,1.02,1.0
