,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.94,0.27,0.3,0.24,0.22,0.19,0.18,0.3,0.2,0.15,0.18,0.17,0.14,0.18,0.05,0.16
f_1,0.48,0.94,0.31,0.19,0.25,0.16,0.16,0.23,0.19,0.14,0.17,0.08,0.13,0.15,0.08,0.11
c_1,0.29,0.29,0.94,0.29,0.43,0.14,0.22,0.14,0.07,0.18,0.16,0.14,0.12,0.14,0.13,0.13
d_1,0.28,0.42,0.24,0.94,0.25,0.17,0.21,0.1,0.31,0.16,0.16,0.17,0.13,0.17,0.09,0.12
b_1,0.33,0.26,0.27,0.29,0.93,0.35,0.24,0.24,0.19,0.15,0.07,0.17,0.13,0.15,0.09,0.14
a_1,0.32,0.4,0.33,0.37,0.21,0.93,0.24,0.18,0.21,0.17,0.19,0.24,,0.22,0.18,0.14
h_1,0.51,0.63,0.47,0.6,0.47,0.38,0.72,0.3,0.31,0.4,0.31,0.31,0.22,0.18,0.23,0.34
d_0,0.52,0.51,1.04,0.26,0.46,0.36,0.37,0.62,0.33,0.26,0.37,0.32,0.24,0.35,0.24,0.24
c_0,0.51,0.61,0.36,0.53,0.54,0.44,0.38,0.43,0.61,0.38,0.56,0.36,0.27,0.31,0.31,0.3
g_1,0.55,0.49,0.51,0.87,0.48,0.33,0.35,0.38,0.35,0.73,0.35,0.43,0.23,0.29,0.21,0.18
b_0,0.55,0.59,0.56,0.71,0.36,0.45,0.43,0.42,0.31,0.42,0.61,0.3,0.52,0.31,0.27,0.29
f_0,0.56,0.34,0.74,0.72,0.47,0.32,0.45,0.44,0.43,0.33,0.47,0.63,0.33,0.28,0.47,0.26
a_0,0.73,0.79,0.73,0.59,0.61,,0.45,0.49,0.47,0.46,0.32,0.35,0.61,0.34,0.26,0.35
h_0,0.57,0.86,0.69,0.65,0.53,0.39,0.34,0.38,0.43,0.42,0.44,0.42,0.29,0.22,0.29,0.36
e_0,0.43,0.7,0.83,0.85,0.73,0.39,0.38,0.54,0.41,0.41,0.44,0.36,0.35,0.42,0.61,0.33
g_0,0.52,0.63,0.66,1.0,0.56,0.49,0.4,0.46,0.45,0.29,0.43,0.54,0.27,0.39,0.3,0.22
