,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,2.34,0.45,0.65,0.71,0.48,0.44,1.15,0.88,1.1,2.25,1.22,1.16,1.34,0.86,0.44,1.09
d_1,0.6,2.37,0.57,0.44,0.49,0.44,1.13,0.94,2.3,0.42,1.31,1.25,1.42,1.08,1.08,1.46
f_1,1.03,0.61,2.37,0.46,0.44,0.34,1.09,0.97,1.05,1.11,0.43,1.03,1.13,1.07,0.59,1.23
c_1,0.44,0.54,0.6,2.48,1.01,0.4,1.01,0.79,0.53,1.14,1.07,0.66,1.5,0.76,0.96,1.55
b_1,0.52,0.51,0.53,0.54,2.53,0.99,1.0,0.89,0.81,1.07,1.04,0.39,1.61,0.72,1.0,1.3
a_1,0.56,0.63,0.6,0.66,0.54,2.96,0.9,1.06,0.95,1.14,0.99,1.3,1.3,0.44,1.23,1.21
h_1,0.59,0.77,0.95,0.72,0.59,0.48,2.94,1.47,1.36,1.24,1.34,1.42,1.27,1.15,1.2,2.05
g_1,0.65,1.18,0.6,0.43,0.57,0.58,1.35,3.3,1.69,1.07,2.03,1.55,1.5,1.09,1.32,0.99
c_0,0.71,0.85,0.81,0.37,0.5,0.51,1.54,1.31,2.83,1.29,1.47,2.71,1.65,1.5,1.09,1.75
d_0,0.67,0.34,0.71,1.45,0.7,0.41,1.38,0.91,0.83,2.83,1.19,1.23,1.96,1.23,1.09,1.47
f_0,0.56,0.79,0.58,0.64,0.72,0.55,1.51,1.36,1.59,1.37,3.03,1.58,2.0,1.23,3.05,1.81
b_0,0.64,0.99,0.84,0.72,0.35,0.33,1.37,1.23,1.46,1.46,1.37,2.98,2.08,2.82,1.27,1.59
h_0,0.57,0.75,1.03,0.81,0.58,0.59,0.77,1.67,1.24,1.41,1.23,1.34,1.26,1.44,1.15,2.14
a_0,0.68,0.83,0.86,0.72,0.6,0.23,1.53,1.25,1.43,1.29,1.59,1.44,2.13,3.21,1.4,2.03
e_0,0.41,0.78,0.85,0.63,0.62,0.58,1.73,1.25,1.47,1.26,1.32,1.43,2.37,1.18,3.19,1.78
g_0,0.54,1.15,0.58,0.85,0.62,0.54,1.19,0.67,1.32,1.11,1.9,1.52,1.58,1.15,1.3,0.88
