,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,2.31,0.87,0.7,1.08,0.74,0.58,1.49,1.42,1.49,3.03,1.79,1.67,2.17,0.96,2.28,1.43
f_1,1.41,2.33,0.75,0.78,0.6,0.59,1.36,1.26,1.66,1.81,1.02,1.55,1.92,1.03,1.55,1.28
d_1,0.82,0.93,2.44,0.7,0.65,0.65,1.57,1.3,3.19,1.07,1.71,1.97,2.46,1.54,2.0,1.38
c_1,0.75,0.91,0.75,2.49,1.43,0.68,1.51,1.24,0.87,1.65,1.54,1.09,2.17,1.25,1.77,1.32
b_1,0.79,0.78,0.84,0.76,2.68,1.34,1.62,1.29,1.6,1.55,1.56,0.86,1.94,1.73,1.82,1.12
a_1,0.84,0.94,1.01,0.79,0.72,3.0,1.62,1.53,1.75,1.6,1.59,1.49,2.47,1.31,1.93,0.76
h_1,0.92,1.28,0.92,0.9,0.67,0.71,3.33,2.2,1.91,1.82,1.55,1.67,1.7,1.75,2.44,1.31
g_1,0.93,0.87,1.32,0.85,0.59,0.75,1.65,3.63,2.01,1.72,2.52,1.79,1.78,1.69,1.7,1.51
c_0,0.99,0.98,1.14,0.64,0.6,0.79,1.56,1.63,3.15,1.98,2.03,3.57,2.23,1.73,1.99,1.96
d_0,0.96,1.03,0.56,1.71,0.96,0.67,1.47,1.43,1.14,2.97,1.87,1.55,2.36,1.45,2.16,1.4
f_0,0.81,0.75,0.92,1.11,0.95,0.69,1.77,1.44,1.99,2.11,3.28,2.03,2.41,3.29,2.47,1.48
b_0,0.93,0.97,1.1,0.97,0.65,0.57,1.67,1.74,2.01,2.07,2.03,3.43,2.69,1.9,1.96,3.7
h_0,0.92,1.18,1.06,0.91,0.77,0.73,1.1,1.87,1.78,2.01,1.68,1.77,1.75,1.43,3.04,1.57
e_0,0.59,1.18,0.95,1.02,0.84,0.79,1.92,1.8,1.85,1.49,1.84,1.91,2.49,3.56,2.11,1.38
g_0,0.82,0.84,1.38,0.92,0.84,0.74,1.77,1.07,2.0,1.68,2.8,1.79,2.27,2.18,1.98,1.59
a_0,0.87,1.08,1.16,0.96,0.86,0.46,1.81,1.5,1.45,1.99,1.91,1.74,2.37,1.6,2.17,3.6
