,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.0,1.07,1.0,0.91,0.97,0.93,1.06,1.26,0.88,0.98,1.11,0.98,1.0,1.03,0.84,1.04
f_1,0.92,1.0,1.25,1.03,0.94,0.9,0.88,0.89,1.04,1.07,0.91,0.92,0.9,0.93,1.01,0.8
e_1,1.0,0.82,1.0,1.16,1.07,1.0,1.01,0.97,1.08,1.3,1.03,1.15,1.06,1.01,1.11,1.1
c_1,1.09,1.0,0.86,1.0,1.4,0.9,0.88,0.93,0.94,0.75,0.76,0.91,1.0,0.92,0.97,0.97
b_1,1.04,1.05,0.93,0.72,1.0,1.47,1.15,1.05,1.03,0.91,1.15,1.06,1.02,0.99,1.12,1.02
a_1,1.08,1.12,0.98,1.09,0.71,1.0,1.1,0.97,1.15,0.99,1.15,1.0,1.1,1.02,1.17,0.96
h_1,0.95,1.1,0.98,1.16,0.85,0.9,1.0,0.91,1.13,1.0,0.9,0.99,0.97,0.92,1.04,0.95
c_0,0.82,1.11,1.1,1.02,0.89,1.01,1.08,1.0,1.06,1.12,1.42,0.98,1.08,1.19,1.03,1.09
g_1,1.11,0.97,0.91,1.05,0.97,0.87,0.84,0.92,1.0,0.88,0.99,1.09,0.91,1.0,0.91,1.1
d_0,1.02,0.94,0.79,1.28,1.12,0.98,1.0,0.89,1.07,1.0,1.04,0.99,0.99,0.98,1.03,0.99
b_0,0.89,1.05,1.02,1.3,0.91,0.88,1.1,0.75,1.01,0.97,1.0,1.07,1.09,1.42,1.05,1.11
f_0,1.02,1.03,0.89,1.08,0.97,1.0,1.04,1.0,0.9,0.97,0.96,1.0,1.04,1.07,0.85,1.44
h_0,1.01,1.1,0.97,0.98,0.98,0.88,1.03,0.92,1.04,0.99,0.92,0.99,1.0,0.94,1.17,0.88
a_0,0.96,1.11,0.99,1.13,0.98,0.9,1.1,0.87,1.02,1.03,0.71,1.02,1.07,1.0,1.05,1.06
g_0,1.16,1.03,0.94,1.05,0.89,0.83,0.95,1.01,1.05,0.96,0.95,1.14,0.85,0.95,1.0,1.08
e_0,0.99,1.17,0.92,0.97,0.95,1.02,1.05,0.98,0.89,1.05,0.9,0.71,1.08,0.94,0.89,1.0
