,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,6.0,0.55,0.55,0.61,0.73,0.51,2.11,1.9,5.45,3.41,2.95,3.08,4.11,0.67,4.31,2.86
f_1,1.11,6.16,0.57,0.53,0.56,0.45,2.6,1.81,2.48,3.08,0.68,3.2,5.16,2.58,2.99,3.11
d_1,0.54,0.73,6.34,0.46,0.55,0.5,2.19,1.91,0.92,5.66,2.91,3.78,4.09,3.3,5.46,3.51
c_1,0.45,0.63,0.55,6.35,1.01,0.67,1.81,2.04,3.41,0.41,3.18,2.22,4.32,2.91,4.15,3.04
b_1,0.59,0.67,0.66,0.6,7.04,1.05,1.75,2.26,2.92,2.67,2.2,0.63,5.08,2.81,3.16,2.23
a_1,0.61,0.58,0.6,0.54,0.57,10.38,2.52,2.23,2.8,3.13,3.19,2.94,3.6,2.52,4.93,1.39
h_1,1.04,1.4,1.09,1.06,0.84,1.12,15.51,4.26,4.64,4.76,4.51,4.78,1.88,3.76,9.85,4.69
g_1,0.74,0.78,1.71,1.23,0.93,0.71,4.35,18.16,4.3,4.34,7.33,5.48,7.84,5.37,3.39,4.91
d_0,1.06,1.05,0.23,2.18,1.04,0.86,3.79,4.19,13.43,4.14,6.65,3.94,6.58,4.89,6.48,3.57
c_0,1.06,1.11,1.41,0.45,0.88,0.91,4.42,5.12,4.89,13.9,7.29,11.04,7.36,5.98,7.91,6.84
f_0,0.97,0.35,1.28,1.39,1.17,1.08,3.9,4.01,5.04,5.02,15.87,5.09,6.25,13.33,7.13,5.11
b_0,1.21,1.04,1.0,1.24,0.41,1.09,3.75,4.61,5.4,4.37,6.96,16.6,8.86,5.1,7.64,11.55
h_0,1.24,1.47,1.08,1.2,0.77,0.87,1.46,5.6,4.62,4.33,5.29,4.84,3.97,4.66,10.74,4.99
e_0,0.32,1.18,1.1,1.49,1.1,1.05,5.22,5.11,5.97,5.88,4.55,5.22,8.44,23.72,6.85,5.84
g_0,0.78,1.09,1.67,1.08,0.87,1.25,4.35,1.98,4.08,5.09,8.15,3.76,5.91,5.31,4.21,4.59
a_0,0.91,1.25,1.22,1.26,0.6,0.66,5.27,4.82,4.82,5.32,5.22,6.2,8.74,6.36,8.82,22.47
