,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.94,0.46,0.33,0.48,0.34,0.27,0.29,0.42,0.24,0.22,0.25,0.24,0.24,0.2,0.17,0.24
f_1,0.62,0.94,0.37,0.44,0.34,0.28,0.21,0.28,0.25,0.24,0.23,0.12,0.21,0.15,0.14,0.19
d_1,0.45,0.51,0.94,0.32,0.42,0.27,0.3,0.21,0.23,0.43,0.28,0.23,0.29,0.18,0.21,0.19
c_1,0.4,0.4,0.5,0.94,0.53,0.24,0.3,0.24,0.25,0.16,0.21,0.27,0.28,0.18,0.18,0.19
b_1,0.46,0.44,0.47,0.39,0.94,0.46,0.3,0.29,0.23,0.25,0.16,0.24,0.22,0.18,0.19,0.25
a_1,0.49,0.51,0.55,0.51,0.38,0.93,0.35,0.37,0.31,0.29,0.34,0.29,0.32,0.16,0.19,0.25
h_1,0.71,0.97,0.7,0.58,0.48,0.41,0.75,0.42,0.43,0.36,0.41,0.36,0.28,0.29,0.23,0.38
d_0,0.69,0.72,0.41,1.11,0.56,0.46,0.49,0.65,0.38,0.35,0.4,0.39,0.4,0.24,0.26,0.38
g_1,0.65,0.65,0.87,0.7,0.72,0.42,0.45,0.45,0.74,0.37,0.39,0.57,0.38,0.31,0.26,0.27
c_0,0.82,0.84,0.66,0.6,0.55,0.44,0.54,0.5,0.44,0.66,0.67,0.45,0.41,0.35,0.32,0.37
b_0,0.79,0.9,0.71,0.8,0.44,0.42,0.51,0.5,0.43,0.38,0.63,0.39,0.47,0.54,0.31,0.39
f_0,0.73,0.6,0.86,0.71,0.68,0.41,0.63,0.44,0.39,0.42,0.53,0.65,0.42,0.38,0.6,0.35
h_0,0.68,1.07,0.73,0.71,0.76,0.49,0.43,0.5,0.54,0.5,0.49,0.48,0.36,0.31,0.32,0.49
a_0,0.77,0.96,0.98,0.78,0.57,0.44,0.64,0.56,0.54,0.49,0.43,0.44,0.56,0.62,0.38,0.43
e_0,0.53,1.08,0.77,0.86,0.68,0.61,0.77,0.57,0.49,0.47,0.52,0.36,0.56,0.4,0.61,0.46
g_0,0.73,0.72,1.18,0.92,0.68,0.54,0.57,0.47,0.27,0.49,0.53,0.69,0.41,0.33,0.34,0.34
