,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,16.77,0.55,0.42,0.75,0.53,0.46,0.81,0.99,0.78,1.89,1.06,1.04,0.94,0.99,0.46,1.02
f_1,1.14,17.4,0.49,0.59,0.38,0.35,0.92,0.59,0.68,0.81,0.96,0.28,0.77,0.94,0.83,0.84
d_1,0.41,0.58,20.08,0.36,0.62,0.63,0.81,1.05,2.24,0.36,1.03,0.89,1.28,1.08,1.07,0.79
c_1,0.47,0.52,0.52,20.61,1.24,0.4,0.69,0.74,0.25,0.86,0.57,1.1,0.79,0.94,1.12,1.03
b_1,0.4,0.49,0.62,0.5,21.91,1.35,0.93,0.74,0.74,0.72,0.28,1.11,1.07,0.48,0.98,0.96
a_1,0.54,0.62,0.52,0.47,0.46,31.64,1.08,0.9,1.09,0.95,0.96,0.85,1.08,0.48,1.02,1.14
h_1,0.65,1.13,0.64,0.63,0.52,0.66,5.7,1.67,1.27,1.02,1.18,0.92,0.42,1.26,0.93,1.55
g_1,0.45,0.54,1.37,0.77,0.57,0.65,0.94,6.55,1.12,0.89,1.07,2.07,1.27,0.95,1.07,0.55
c_0,0.73,0.7,0.9,0.35,0.43,0.9,1.27,0.94,3.51,1.24,3.36,1.24,1.33,1.34,1.29,1.24
d_0,0.87,0.71,0.23,1.78,0.64,0.48,1.17,1.04,0.88,3.36,1.62,1.41,1.12,1.0,1.15,1.31
b_0,0.63,0.77,0.91,0.69,0.26,0.62,1.32,1.28,1.32,1.03,3.77,1.46,1.33,3.34,1.3,1.28
f_0,0.52,0.37,0.91,0.82,0.69,0.89,1.21,1.42,1.05,1.2,1.49,3.54,1.38,1.17,2.3,1.01
h_0,0.73,1.05,1.03,0.64,0.49,0.62,0.54,1.43,1.19,1.12,1.27,0.96,0.68,0.82,1.21,1.8
a_0,0.7,0.72,0.82,0.58,0.77,0.21,1.28,1.49,1.17,1.26,1.4,1.35,1.63,4.71,1.06,1.24
e_0,0.31,0.71,0.66,0.96,0.69,0.62,1.53,1.18,1.25,1.66,1.19,1.26,1.23,1.15,5.08,1.23
g_0,0.57,0.52,1.3,0.93,0.68,0.67,0.87,0.65,1.25,1.03,1.64,2.58,1.02,1.52,0.98,0.59
