,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,5.4,0.66,0.71,0.52,0.65,0.5,2.01,5.1,2.59,3.62,1.94,3.05,4.86,3.26,0.74,3.9
f_1,1.15,5.43,0.62,0.53,0.56,0.53,1.97,2.35,2.63,2.2,1.95,0.62,3.85,3.44,2.57,3.81
c_1,0.62,0.55,6.25,0.66,1.19,0.6,2.43,2.45,0.47,1.63,1.76,2.55,3.84,2.23,3.89,4.71
d_1,0.58,0.61,0.33,6.8,0.58,0.66,2.39,0.85,5.25,4.22,2.69,3.5,4.72,2.87,3.33,5.03
b_1,0.46,0.66,0.68,0.64,7.54,1.17,2.18,3.3,2.65,0.76,1.51,3.05,3.7,2.49,2.78,4.03
a_1,0.43,0.66,0.64,0.6,0.52,10.87,2.45,3.41,3.89,3.22,2.25,3.21,6.1,0.75,3.7,3.37
h_1,0.93,1.54,1.15,1.11,0.76,1.03,15.41,3.46,4.48,4.61,5.27,5.46,1.65,3.33,5.82,7.88
d_0,1.18,0.99,2.24,0.33,0.81,0.72,3.84,13.11,4.42,5.83,4.11,4.51,7.44,5.2,5.04,8.86
c_0,1.06,1.39,0.44,1.33,0.98,0.91,4.38,4.81,14.85,8.73,4.16,6.2,8.17,5.44,5.21,6.75
b_0,1.46,1.15,1.09,0.89,0.32,0.78,4.37,5.83,6.56,17.76,4.09,4.7,7.32,10.71,4.12,8.73
g_1,0.83,1.11,1.05,1.55,0.82,0.89,4.68,4.18,5.65,5.77,24.38,7.68,6.6,6.18,5.1,3.55
f_0,0.85,0.59,1.2,1.36,0.87,1.22,4.23,6.06,5.77,6.54,6.02,20.85,10.54,5.43,11.2,9.74
h_0,0.95,1.33,1.24,1.15,0.65,1.16,1.88,4.36,5.98,4.96,5.16,5.4,3.65,5.18,5.15,9.95
a_0,0.99,0.95,1.21,1.16,0.92,0.36,4.57,6.26,5.03,6.33,6.18,6.79,7.07,22.83,6.17,8.52
e_0,0.41,1.36,1.0,1.44,1.14,1.1,4.43,3.64,6.19,5.67,5.89,6.61,10.63,5.48,23.19,7.99
g_0,0.69,0.86,1.2,1.82,1.15,0.81,3.52,4.64,6.26,4.22,,8.28,7.7,4.84,5.12,3.24
