,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.36,1.64,0.98,1.03,0.95,0.67,1.73,1.64,2.22,2.18,2.11,1.58,2.64,1.61,1.19,2.25
e_1,1.13,2.38,1.35,0.91,0.98,0.79,1.94,1.8,3.78,2.07,2.28,1.95,2.69,1.8,1.34,2.67
c_1,1.04,0.93,2.46,1.12,1.63,0.89,1.87,1.78,2.05,1.28,1.46,1.95,2.62,1.64,1.97,2.61
d_1,1.2,1.07,0.85,2.49,0.97,0.85,2.11,1.64,1.58,3.8,2.57,2.02,2.77,2.33,1.87,2.52
b_1,1.13,1.04,1.08,0.96,2.63,1.53,1.95,1.76,2.08,2.1,1.51,1.93,2.46,1.7,1.92,2.38
a_1,1.16,1.1,1.1,1.21,0.98,3.15,2.2,1.64,2.17,2.36,2.17,1.91,2.62,1.48,1.77,2.01
h_1,1.43,1.1,1.16,1.24,1.08,0.75,3.51,2.38,2.21,2.36,2.16,2.03,2.25,1.94,2.09,3.62
g_1,1.12,0.9,1.16,1.71,0.97,0.87,1.94,3.74,2.04,2.4,2.18,3.24,2.95,2.17,2.74,2.53
d_0,1.11,1.02,1.93,0.94,1.2,0.83,1.87,1.84,3.25,1.48,2.02,2.13,3.03,1.64,1.93,3.0
c_0,1.4,1.2,0.95,1.22,0.81,1.0,2.23,1.98,2.26,3.32,3.88,2.12,3.13,2.53,2.06,2.51
b_0,1.39,1.27,1.19,1.27,0.77,0.77,2.19,1.97,2.26,2.46,3.54,2.22,3.32,3.64,1.86,2.96
f_0,1.08,0.94,1.28,1.15,1.04,1.01,2.63,2.02,2.76,2.4,2.13,3.66,3.19,1.81,4.24,3.04
h_0,1.48,1.15,1.18,1.23,1.04,0.84,1.49,2.45,2.09,2.21,2.16,2.42,2.48,2.17,1.74,3.46
a_0,1.24,1.26,1.14,1.23,1.17,0.84,2.17,1.54,1.81,2.45,2.45,2.01,2.97,3.67,1.55,2.71
e_0,1.37,0.94,1.13,1.11,1.27,0.95,2.11,2.22,2.38,2.0,2.28,2.58,3.55,1.93,3.79,3.16
g_0,1.11,1.0,1.15,1.59,1.1,0.89,2.02,1.84,1.91,2.47,2.14,3.05,3.21,1.99,2.26,2.32
