,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,2.43,1.69,2.19,1.53,1.65,1.56,3.02,3.61,3.39,3.33,3.75,2.62,3.8,4.25,3.04,4.49
c_1,1.63,2.54,1.5,2.5,1.81,1.62,2.9,3.07,2.47,3.33,2.58,3.51,3.21,4.5,3.84,4.4
e_1,1.66,1.98,2.56,1.71,1.42,1.51,3.55,5.47,3.42,3.19,3.86,3.87,3.77,4.73,2.98,4.75
b_1,1.74,1.45,1.56,2.64,1.73,2.71,3.38,3.21,3.48,3.38,3.2,3.69,3.06,4.28,4.13,4.4
d_1,1.61,1.41,1.78,1.58,2.69,1.76,3.24,3.17,5.26,2.88,4.6,4.39,4.36,4.54,4.1,4.5
a_1,1.79,1.68,1.83,1.39,1.72,3.22,3.57,3.74,3.58,3.45,3.91,4.06,3.15,4.7,4.19,5.08
h_1,2.0,1.94,1.69,1.65,1.75,1.6,4.46,3.59,3.48,4.2,3.77,3.76,3.61,4.58,3.63,5.36
d_0,1.81,2.54,1.41,2.08,1.43,1.35,3.29,4.41,2.87,3.26,3.11,3.78,3.53,5.0,4.58,4.65
c_0,1.81,1.71,1.81,1.52,1.66,1.74,3.71,4.2,4.68,3.2,6.02,4.31,5.56,5.39,4.56,4.67
g_1,1.66,1.69,1.68,1.6,2.37,1.46,2.67,3.45,4.02,4.82,3.81,4.96,4.03,4.53,4.16,4.26
b_0,1.93,2.07,1.64,1.49,1.69,1.5,3.6,4.17,3.48,3.46,4.98,4.01,6.8,5.02,4.21,4.85
f_0,1.86,1.89,1.57,1.74,1.66,1.82,3.44,3.9,3.85,2.99,4.1,5.06,4.12,5.18,6.42,4.25
a_0,1.95,1.95,1.78,1.92,1.56,1.56,3.69,4.18,3.09,3.73,3.62,3.89,5.45,5.32,4.27,4.32
h_0,2.1,1.75,1.56,1.79,1.83,1.64,2.71,3.62,3.19,3.81,3.92,3.52,4.04,4.34,4.0,5.23
e_0,2.11,1.8,1.64,1.68,1.79,1.68,3.73,3.37,3.54,3.14,4.03,3.21,3.95,5.14,5.7,4.77
g_0,1.62,1.7,1.44,1.69,2.22,1.83,3.35,3.59,3.97,3.06,4.2,5.17,3.96,4.87,5.06,4.42
