,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,5.32,0.08,0.06,0.08,0.09,0.07,0.35,0.66,0.28,0.32,0.44,0.24,0.66,0.41,0.51,
f_1,0.14,5.49,0.08,0.08,0.09,0.09,0.3,0.36,0.41,0.21,0.42,,0.55,0.41,0.43,
d_1,0.07,0.08,6.25,0.07,0.07,0.08,0.26,,0.76,0.38,0.32,0.43,0.74,0.36,0.67,0.33
c_1,0.08,0.08,0.06,6.82,0.14,0.06,0.36,0.55,,0.25,0.24,0.33,0.49,0.44,0.59,0.48
b_1,0.08,0.08,0.09,0.07,7.82,0.1,0.33,0.51,0.47,0.29,,0.25,0.54,0.33,0.46,0.49
a_1,0.06,0.09,0.08,0.07,0.08,10.83,0.31,0.43,0.48,0.35,0.36,,0.62,,0.52,
h_1,0.3,0.4,0.23,0.26,0.32,0.41,13.54,1.49,1.32,1.35,1.43,1.78,,0.99,2.75,1.31
d_0,0.44,0.38,,0.72,0.35,0.33,1.49,11.23,1.9,1.39,1.83,2.63,3.99,1.46,2.28,2.0
c_0,0.37,0.39,0.48,,0.3,0.36,1.9,1.64,12.44,1.22,3.55,2.19,2.29,1.64,3.39,1.44
g_1,0.35,0.23,0.49,0.3,,0.23,0.9,1.16,1.52,20.0,1.29,2.87,1.7,,,1.82
b_0,0.33,0.39,0.41,0.27,,0.3,1.66,1.71,1.68,1.43,14.0,2.28,3.88,3.66,3.3,1.61
f_0,0.27,,0.47,0.45,0.47,0.32,1.56,2.28,2.04,1.75,1.55,15.05,2.63,2.01,2.57,5.07
h_0,0.58,0.84,0.54,0.61,0.52,0.59,,2.68,2.83,2.99,3.67,2.15,,1.84,6.07,2.9
a_0,0.45,0.41,0.49,0.26,0.46,,1.67,2.53,1.33,,1.49,2.14,2.86,22.97,2.61,
g_0,0.33,0.47,0.82,0.63,0.57,0.56,1.37,2.48,3.39,,3.05,5.28,5.01,3.01,,3.04
e_0,,0.4,0.48,0.62,0.36,0.45,1.31,1.26,,,1.61,2.03,3.45,2.65,3.91,24.68
