,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,22.77,0.68,0.32,0.39,0.32,0.32,0.71,0.68,0.64,0.69,0.8,0.17,0.8,0.67,0.72,0.71
e_1,0.33,23.99,0.33,0.3,0.37,0.29,0.87,0.53,1.6,0.79,0.78,1.05,1.03,0.69,0.2,0.85
d_1,0.29,0.32,27.08,0.29,0.37,0.37,0.61,0.72,0.14,1.65,0.91,0.9,0.95,0.92,0.83,1.09
c_1,0.42,0.36,0.25,27.85,0.8,0.23,0.57,0.67,0.61,0.08,0.48,0.77,0.82,0.84,0.73,0.69
b_1,0.33,0.27,0.32,0.34,33.08,0.8,1.08,0.59,0.95,0.76,0.16,0.67,0.62,0.58,0.78,0.8
a_1,0.4,0.34,0.29,0.44,0.22,50.79,0.82,0.68,0.66,0.73,0.7,0.73,0.72,0.23,0.86,0.73
h_1,0.96,0.5,0.71,0.46,0.6,0.64,8.94,2.38,1.5,1.39,1.35,1.34,0.75,1.22,1.57,1.98
g_1,0.65,0.44,1.32,0.64,0.43,0.64,0.98,10.89,1.0,1.42,1.82,2.14,1.57,1.22,1.43,0.83
d_0,0.7,0.48,0.17,1.59,0.55,0.73,1.3,1.34,5.36,1.25,1.36,1.54,1.65,1.48,1.77,1.61
c_0,0.69,0.56,0.83,0.26,0.52,0.59,1.42,1.99,1.66,5.8,4.1,1.78,2.51,1.97,1.67,2.17
b_0,0.81,0.67,0.83,0.63,0.12,0.46,1.35,1.49,1.6,1.48,7.11,1.72,2.01,3.4,1.78,1.41
f_0,0.27,0.51,0.98,0.82,0.49,0.63,1.31,1.27,2.15,1.64,1.73,6.93,1.72,1.83,3.67,2.22
h_0,0.93,0.54,0.82,0.8,0.4,0.51,0.24,1.78,1.5,1.37,1.68,1.14,0.65,1.81,1.19,1.86
a_0,0.68,0.56,0.85,0.69,0.49,0.23,1.35,1.67,1.31,1.14,1.94,1.95,1.74,8.07,2.28,1.75
e_0,0.71,0.2,0.64,0.7,0.67,0.75,1.25,1.85,2.15,2.24,2.15,1.78,2.16,2.02,9.52,1.66
g_0,0.46,0.51,1.31,0.64,0.48,0.68,1.22,0.57,1.28,1.36,1.59,2.68,1.33,1.76,1.89,0.78
