,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.92,1.33,0.75,0.76,0.53,0.64,0.93,0.89,0.92,0.92,0.96,0.57,0.86,0.96,0.84,0.67
e_1,0.79,2.05,0.91,0.71,0.79,0.68,0.93,0.86,1.62,0.94,0.95,0.93,1.04,1.03,0.93,0.72
c_1,0.72,0.67,2.17,0.67,1.4,0.72,0.91,0.89,0.9,0.48,0.62,1.0,0.91,0.82,0.93,1.03
d_1,0.82,0.76,0.59,2.34,0.61,0.74,0.97,1.05,0.57,1.78,1.26,1.2,0.99,1.04,1.11,1.12
b_1,0.84,0.58,0.87,0.73,2.59,1.37,0.99,0.92,0.85,0.85,0.56,0.92,1.04,0.6,0.99,0.86
a_1,0.9,0.7,0.78,0.7,0.77,3.65,1.0,0.87,0.95,0.91,0.92,0.85,1.06,0.62,0.94,0.69
h_1,1.18,0.8,0.67,0.92,0.71,0.73,2.08,1.14,0.9,0.95,1.15,0.92,0.86,1.07,1.34,0.93
g_1,0.74,0.72,0.77,1.33,0.74,0.69,0.98,2.37,0.97,1.04,1.25,1.62,1.14,1.34,0.9,1.44
d_0,0.78,0.7,1.57,0.62,0.87,0.58,1.07,1.09,1.64,0.69,0.97,1.16,1.08,1.08,1.03,1.25
c_0,0.85,0.84,0.69,1.05,0.52,0.82,0.98,1.08,1.15,1.78,2.2,1.25,1.28,1.55,1.35,1.44
b_0,0.88,0.82,0.79,1.07,0.46,0.76,1.1,1.14,0.91,1.17,2.04,1.16,1.16,2.41,1.27,1.29
f_0,0.72,0.58,0.92,1.03,0.74,0.63,1.05,1.22,1.07,1.17,1.35,2.2,1.35,1.35,1.22,2.68
h_0,1.02,0.73,0.88,1.0,0.8,0.67,0.74,1.44,0.98,1.01,1.21,1.07,0.77,1.13,1.31,1.11
a_0,0.89,0.83,0.92,0.95,0.68,0.51,1.18,1.11,0.98,0.85,1.3,1.23,1.09,2.44,1.07,1.42
g_0,0.8,0.71,0.72,1.35,0.72,0.7,1.02,0.92,0.75,0.96,1.27,1.77,1.09,1.2,0.86,1.41
e_0,0.89,0.53,0.85,0.94,1.08,0.83,1.08,1.16,1.02,0.99,1.43,1.23,1.24,1.17,1.18,3.14
