,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,16.61,0.54,0.41,0.76,0.54,0.39,0.87,0.88,2.2,0.84,1.17,1.13,1.02,0.45,1.06,1.11
f_1,1.13,16.99,0.49,0.47,0.41,0.49,0.75,0.82,0.81,0.85,0.32,0.93,0.94,0.69,0.75,0.8
d_1,0.45,0.61,19.89,0.44,0.49,0.58,0.84,0.84,0.31,2.17,0.88,1.16,1.08,0.96,0.98,0.8
c_1,0.42,0.59,0.48,19.4,1.17,0.55,0.87,0.74,0.83,0.24,0.83,0.68,1.03,0.87,0.98,0.87
b_1,0.47,0.49,0.49,0.49,23.73,1.18,0.95,0.9,0.78,0.83,1.04,0.28,0.84,1.23,0.87,0.9
a_1,0.52,0.49,0.71,0.51,0.56,30.43,0.97,0.88,0.73,0.95,0.89,0.77,0.99,0.88,0.91,0.28
h_1,0.51,1.14,0.73,0.7,0.51,0.53,5.79,1.67,1.21,1.12,1.08,1.18,0.57,1.46,1.43,1.04
g_1,0.66,0.58,1.18,0.58,0.47,0.77,1.12,6.87,0.89,1.06,1.91,1.28,0.86,1.02,0.6,1.21
d_0,0.7,0.8,0.29,1.95,0.73,0.68,0.9,0.97,3.05,0.71,1.32,0.99,1.18,1.0,1.27,1.16
c_0,0.76,0.7,0.97,0.29,0.53,0.72,1.08,1.23,1.11,3.13,1.44,2.8,1.14,1.49,1.31,1.56
f_0,0.57,0.4,0.76,1.0,0.78,0.61,1.37,1.01,1.41,1.12,4.12,1.38,1.08,3.45,1.48,1.22
b_0,0.62,0.62,1.06,0.73,0.32,0.47,1.19,1.22,1.16,1.27,1.4,4.43,1.46,1.57,1.43,4.01
h_0,0.64,0.87,0.84,0.76,0.61,0.76,0.62,1.62,1.14,1.05,1.06,1.21,0.72,1.0,1.82,1.19
e_0,0.23,0.87,0.89,0.92,0.67,0.77,1.32,1.3,0.91,1.26,1.46,1.06,1.4,5.39,1.1,1.08
g_0,0.55,0.49,1.55,0.8,0.61,0.64,1.32,0.62,1.03,1.15,2.32,1.13,1.22,1.84,0.91,1.19
a_0,0.52,0.8,1.0,0.7,0.67,0.3,1.29,1.02,1.2,0.8,1.46,1.26,1.41,1.13,1.45,5.7
