,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,2.42,0.62,0.69,0.96,0.74,0.79,1.74,2.81,1.31,1.46,1.85,2.16,2.0,1.33,1.52,1.95
f_1,1.48,2.48,0.7,0.57,0.59,0.68,1.27,1.47,1.43,1.92,0.8,1.28,1.94,1.25,2.0,1.82
d_1,0.68,0.91,2.54,0.7,0.78,0.7,1.5,0.77,1.48,2.77,1.73,1.71,1.94,1.78,1.48,1.82
c_1,0.57,0.77,0.8,2.54,1.36,0.77,1.47,1.42,1.23,0.61,1.81,1.39,2.38,1.59,1.52,2.3
b_1,0.75,0.8,0.79,0.65,2.71,1.29,1.49,1.64,1.29,1.55,1.74,1.1,2.14,1.8,1.42,2.17
a_1,0.71,0.91,0.87,0.77,0.55,3.22,1.35,1.9,1.51,1.33,1.44,1.94,2.53,1.98,0.86,2.0
h_1,0.73,1.3,1.04,1.13,0.98,0.93,3.89,2.09,2.49,2.02,2.04,2.14,1.68,2.27,2.27,3.53
d_0,0.83,0.93,0.64,1.75,1.0,0.86,2.09,3.48,2.24,1.92,2.49,2.63,2.26,2.54,2.79,2.73
g_1,0.93,0.95,1.3,1.13,1.02,0.9,1.64,1.59,4.25,2.02,3.22,2.01,2.44,2.36,2.35,1.53
c_0,1.18,1.09,1.03,0.76,0.81,1.03,2.22,2.43,1.96,3.81,2.6,3.62,2.68,2.15,2.4,3.26
f_0,0.88,0.59,1.09,1.16,1.06,1.18,2.04,2.38,2.05,1.9,3.99,2.63,2.79,4.04,2.91,2.57
b_0,0.83,1.49,1.01,1.19,0.51,0.67,2.09,2.34,2.23,1.96,2.11,4.17,2.78,2.72,4.27,3.08
h_0,0.93,1.31,1.07,1.02,0.92,0.91,1.53,2.43,2.47,2.28,2.43,2.29,1.56,2.08,2.22,3.08
e_0,0.59,1.42,1.02,1.17,1.03,0.96,2.23,2.42,2.33,2.35,1.71,2.16,3.94,4.8,3.21,3.52
a_0,1.17,0.97,1.09,1.22,1.05,0.56,2.34,2.11,2.29,2.47,2.09,1.95,2.7,1.63,4.62,2.68
g_0,0.79,0.93,1.55,0.88,0.95,0.87,1.74,2.05,1.68,2.29,3.13,2.18,2.72,2.28,2.71,1.91
