,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,5.83,1.18,2.46,1.3,1.21,0.72,4.89,5.6,4.22,5.23,6.69,2.17,7.35,5.05,3.57,8.26
d_1,1.55,6.25,1.07,1.02,1.27,1.27,4.91,2.45,5.18,11.75,6.58,6.54,10.34,8.34,7.85,9.11
e_1,1.32,1.19,6.19,1.58,1.16,1.43,4.47,11.48,4.35,5.57,6.86,7.01,9.32,5.81,3.67,8.29
c_1,1.26,1.27,1.12,6.74,2.23,1.35,3.61,6.25,4.65,2.13,5.23,6.17,9.01,6.53,4.98,9.18
b_1,1.08,1.58,1.21,1.12,7.47,2.55,4.71,5.21,4.0,5.18,1.98,5.72,10.1,4.14,5.91,10.03
a_1,1.48,1.39,1.25,1.21,1.42,10.19,4.39,5.89,4.74,6.05,5.18,6.51,9.69,2.82,8.51,8.46
h_1,2.08,1.43,1.55,1.93,1.21,1.49,16.36,6.2,7.94,7.14,8.36,7.48,7.16,7.12,8.08,15.07
d_0,1.53,0.92,1.37,3.33,1.5,1.5,6.12,14.76,4.96,5.36,10.23,8.94,9.73,8.33,8.37,10.35
g_1,1.47,2.32,1.19,1.61,1.43,1.21,6.11,7.05,19.81,6.6,8.38,12.66,12.39,9.09,8.67,7.12
c_0,1.82,1.5,1.8,0.99,1.17,1.65,6.14,8.29,5.93,16.21,17.6,9.79,12.15,8.73,9.82,12.52
b_0,1.7,1.61,1.58,1.9,0.76,1.35,6.57,8.04,6.47,7.04,17.38,7.7,13.78,18.14,11.42,12.21
f_0,1.1,1.75,1.26,1.91,1.77,1.8,5.56,8.39,6.05,8.83,8.11,19.32,11.23,8.14,19.48,12.13
h_0,2.52,1.69,1.37,1.64,1.44,1.32,4.31,7.38,8.61,6.6,7.37,8.1,6.24,7.28,8.24,14.96
a_0,1.48,1.73,1.46,1.72,1.56,0.8,7.57,8.61,5.43,9.22,8.2,9.62,15.86,24.76,8.51,15.23
e_0,2.03,1.64,0.84,1.89,1.19,1.67,6.84,6.86,7.35,7.77,9.16,8.19,13.94,11.94,26.99,11.53
g_0,1.5,2.41,1.28,1.72,1.57,1.82,5.25,6.73,2.62,7.76,8.55,12.82,9.27,9.66,10.11,6.85
