,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.44,1.07,1.15,0.95,1.22,1.04,0.25,0.26,0.24,0.36,0.21,0.32,0.12,0.23,0.19,0.19
e_1,0.7,0.43,1.43,1.15,1.21,1.34,0.33,0.26,0.26,0.35,0.25,0.33,0.19,0.35,0.24,0.18
c_1,1.3,0.94,0.41,1.6,1.32,1.17,0.38,0.15,0.35,0.3,0.24,0.23,0.18,0.22,0.23,0.19
d_1,1.27,1.44,1.33,0.4,1.23,1.07,0.29,0.45,0.22,0.23,0.28,0.24,0.18,0.19,0.23,0.1
b_1,1.55,1.54,0.7,1.43,0.38,1.3,0.4,0.27,0.36,0.43,0.52,0.28,0.23,0.22,0.28,0.2
a_1,1.78,1.83,1.43,1.84,0.74,0.33,0.52,0.41,0.38,0.43,0.58,0.31,0.23,0.35,0.78,0.26
h_1,2.18,2.34,2.27,2.22,2.06,1.68,0.3,0.49,0.4,0.65,0.42,0.45,0.41,0.42,0.47,0.32
d_0,2.31,1.37,2.53,3.3,2.54,2.07,0.76,0.35,0.53,0.73,0.53,0.52,0.36,0.48,0.44,0.44
c_0,2.87,2.64,4.08,1.38,2.7,2.08,0.75,0.68,0.32,0.74,0.56,0.51,0.34,0.48,0.49,0.31
g_1,2.72,2.5,2.59,2.42,2.54,2.05,0.52,0.55,0.49,0.27,0.52,0.46,0.26,0.49,0.63,0.4
b_0,2.67,2.24,4.17,2.08,4.3,2.47,0.69,0.65,0.27,0.71,0.3,0.5,0.35,0.58,0.42,0.35
f_0,4.11,2.84,2.58,2.74,2.54,1.98,0.73,0.56,0.57,0.49,0.58,0.29,0.4,0.44,0.51,0.23
h_0,3.0,2.64,3.0,2.6,3.03,2.7,1.2,0.68,0.59,0.81,0.56,0.66,0.57,0.57,0.5,0.47
e_0,5.07,4.05,2.72,3.4,2.88,3.11,0.91,0.6,0.68,0.75,0.64,0.34,0.52,0.3,0.58,0.39
a_0,3.61,3.0,4.58,2.99,4.91,4.32,0.89,0.7,0.53,0.95,0.32,0.6,0.45,0.64,0.27,0.4
g_0,3.39,3.75,4.04,3.1,3.27,3.35,0.77,0.77,0.61,1.47,0.67,0.66,0.36,0.54,0.66,0.64
