,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,5.7,0.07,0.12,0.08,0.09,0.06,0.37,0.18,0.46,0.49,0.36,,0.58,0.37,0.4,0.37
d_1,0.08,5.96,0.06,0.06,0.07,0.06,0.33,0.31,0.7,,0.38,0.57,0.53,0.37,0.68,0.37
e_1,0.09,0.07,6.02,0.06,0.06,0.07,0.32,0.25,0.36,0.7,0.31,0.32,0.68,0.32,0.61,
c_1,0.09,0.07,0.08,6.81,0.14,0.08,0.27,0.25,,0.56,0.24,0.38,0.56,0.36,0.61,0.36
b_1,0.08,0.1,0.06,0.11,7.4,0.13,0.33,0.26,0.29,0.35,,0.4,0.57,0.28,0.38,0.48
a_1,0.1,0.07,0.09,0.05,0.06,9.61,0.38,0.31,0.37,0.31,,,0.69,,0.58,
h_1,0.37,0.24,0.29,0.34,0.3,0.24,13.67,1.28,1.72,1.4,1.6,1.32,,0.96,3.0,1.63
g_1,0.31,0.41,0.24,0.25,0.29,0.29,1.04,17.54,1.56,0.93,1.46,2.24,2.27,1.8,,
c_0,0.41,0.4,0.38,,0.29,0.41,1.42,1.72,12.16,1.95,3.82,2.27,3.25,,3.13,1.35
d_0,0.46,,0.37,0.85,0.35,0.4,1.22,1.92,1.46,12.57,2.7,1.69,2.76,1.5,2.4,2.25
b_0,0.3,0.46,0.41,0.31,,,1.6,1.19,1.81,2.1,14.41,2.54,3.91,3.79,2.87,2.31
f_0,,0.37,0.38,0.38,0.46,,1.59,2.04,1.71,2.15,2.02,15.17,3.0,1.63,3.06,3.55
h_0,0.55,0.71,0.61,0.62,0.51,0.66,,2.77,3.61,2.66,2.6,2.22,,3.4,5.52,2.77
a_0,0.3,0.43,0.49,0.36,0.41,,1.62,1.13,,1.61,1.35,1.75,3.71,23.02,3.38,
g_0,0.58,0.79,0.46,0.52,0.56,0.67,1.73,,2.63,3.49,2.49,4.08,3.63,3.55,,3.74
e_0,0.3,0.37,,0.42,0.44,,1.47,,2.29,1.35,2.18,2.1,3.42,,3.18,22.34
