,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,0.4,0.73,0.72,0.65,0.64,0.56,0.35,0.27,0.34,0.39,0.34,0.28,0.31,0.24,0.29,0.21
f_1,0.62,0.4,0.77,0.7,0.62,0.62,0.3,0.43,0.27,0.33,0.28,0.36,0.28,0.2,0.24,0.27
e_1,0.68,0.46,0.39,0.83,0.69,0.7,0.39,0.33,0.32,0.4,0.35,0.35,0.33,0.24,0.4,0.3
c_1,0.84,0.68,0.54,0.39,0.78,0.61,0.38,0.37,0.34,0.19,0.28,0.29,0.27,0.28,0.3,0.24
b_1,0.75,0.73,0.66,0.42,0.37,0.81,0.38,0.39,0.36,0.32,0.38,0.32,0.3,0.28,0.34,0.3
a_1,0.7,0.71,0.67,0.75,0.42,0.3,0.4,0.42,0.31,0.35,0.39,0.34,0.45,0.3,0.3,0.25
h_1,0.58,0.74,0.59,0.6,0.65,0.66,0.24,0.36,0.25,0.28,0.28,0.25,0.27,0.27,0.24,0.24
g_1,0.66,0.62,0.69,0.7,0.61,0.5,0.28,0.22,0.27,0.3,0.3,0.3,0.26,0.19,0.27,0.29
c_0,0.42,0.76,0.6,0.83,0.7,0.64,0.37,0.32,0.23,0.39,0.35,0.28,0.32,0.23,0.29,0.24
d_0,0.79,0.63,0.4,0.78,0.62,0.67,0.39,0.37,0.27,0.23,0.26,0.31,0.27,0.24,0.3,0.26
b_0,0.52,0.73,0.56,0.72,0.8,0.55,0.33,0.33,0.19,0.3,0.22,0.28,0.36,0.28,0.27,0.25
f_0,0.61,0.87,0.56,0.64,0.63,0.57,0.36,0.25,0.28,0.3,0.27,0.22,0.25,0.26,0.32,0.19
a_0,0.6,0.63,0.61,0.7,0.74,0.71,0.34,0.35,0.24,0.29,0.17,0.26,0.19,0.23,0.24,0.22
h_0,0.64,0.66,0.68,0.58,0.56,0.52,0.41,0.41,0.3,0.3,0.27,0.27,0.27,0.29,0.26,0.26
e_0,0.56,0.96,0.72,0.65,0.61,0.59,0.31,0.31,0.26,0.28,0.25,0.17,0.25,0.23,0.19,0.2
g_0,0.61,0.68,0.57,0.64,0.6,0.7,0.28,0.43,0.3,0.25,0.25,0.28,0.27,0.2,0.28,0.24
