,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.39,0.37,0.31,0.29,0.28,0.25,0.52,0.49,0.59,0.61,0.63,,0.87,0.63,0.5,0.67
e_1,0.27,2.42,0.29,0.24,0.32,0.21,0.61,0.57,0.86,0.61,0.67,0.59,0.61,0.59,,0.75
c_1,0.25,0.23,2.51,0.33,0.38,0.34,0.59,0.54,0.55,,0.7,0.6,0.79,0.44,0.7,0.79
d_1,0.32,0.26,0.24,2.52,0.33,0.26,0.49,0.46,,0.91,0.78,0.58,0.9,0.62,0.7,0.47
b_1,0.28,0.23,0.27,0.24,2.7,0.46,0.55,0.55,0.66,0.75,,0.65,0.65,0.66,0.58,0.85
a_1,0.25,0.37,0.2,0.34,0.19,3.29,0.66,0.56,0.7,0.63,0.62,0.59,0.7,,0.66,0.62
h_1,0.63,0.47,0.46,0.62,0.6,0.41,3.73,1.16,1.24,1.25,1.14,0.97,,1.13,1.23,2.1
g_1,0.45,0.34,0.54,0.72,0.57,0.45,1.01,4.24,1.12,1.0,1.23,2.01,1.1,,1.38,
d_0,0.61,0.68,0.9,,0.55,0.5,1.21,1.17,3.48,1.45,1.15,1.7,1.95,1.1,1.05,1.93
c_0,0.64,0.66,,0.55,0.48,0.69,1.32,1.35,1.22,3.53,2.17,1.12,2.08,1.36,1.29,1.7
b_0,0.59,0.67,0.58,0.49,,0.58,1.09,1.33,1.36,1.21,3.72,1.66,1.88,2.05,1.58,2.05
f_0,,0.49,0.8,0.65,0.55,0.71,1.39,1.21,1.61,1.71,0.83,3.93,1.82,,2.01,1.5
h_0,0.89,0.92,0.81,0.63,0.68,0.7,,2.09,1.71,1.41,1.66,1.49,,1.72,1.39,2.65
a_0,0.66,0.65,0.73,0.62,0.78,,1.3,,1.25,1.29,1.45,,1.63,4.56,,1.25
e_0,0.66,,0.54,0.57,0.69,0.66,1.23,1.06,1.73,1.65,1.34,1.32,1.94,,4.68,1.51
g_0,0.84,0.77,0.67,1.21,0.66,0.86,1.35,,1.69,1.5,1.1,1.82,2.12,1.71,1.94,
