,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,5.45,1.35,1.06,1.72,1.26,1.2,4.86,12.11,4.79,4.94,6.41,6.19,9.35,4.13,7.06,9.36
f_1,2.15,5.82,1.18,1.25,1.26,1.12,4.3,4.9,3.73,5.37,6.78,2.19,8.58,5.02,7.11,7.15
d_1,1.19,1.34,6.56,1.06,1.15,1.08,4.97,2.78,5.17,12.32,7.82,7.45,9.63,7.82,6.44,8.9
c_1,1.03,1.35,1.24,6.76,2.35,1.29,4.87,4.47,4.67,1.79,5.31,6.01,8.73,5.14,5.74,10.04
b_1,1.31,1.17,1.25,1.17,7.33,2.63,4.76,5.76,4.65,4.36,1.98,6.99,10.3,5.43,4.57,10.12
a_1,1.09,1.65,1.43,1.26,1.09,11.19,5.29,6.32,4.39,8.03,6.34,6.4,8.92,6.83,2.04,10.35
h_1,1.48,2.17,1.59,1.63,1.6,1.36,16.53,6.63,7.46,6.63,6.83,6.47,6.37,7.79,6.94,13.13
d_0,1.52,1.51,0.75,3.24,1.61,1.56,5.36,15.27,5.28,5.97,6.77,9.19,10.84,7.65,8.07,11.83
g_1,1.42,1.17,2.69,1.2,1.39,1.66,4.97,6.14,20.24,7.2,6.82,13.56,10.86,9.02,10.41,6.44
c_0,1.71,1.83,2.13,0.84,1.4,1.23,6.44,5.48,5.91,16.49,15.26,7.93,11.87,9.61,9.56,10.83
b_0,2.09,1.69,1.99,1.43,0.47,1.23,5.51,7.97,5.88,7.97,18.41,8.22,12.44,9.72,19.85,10.47
f_0,1.65,1.11,1.9,1.48,1.37,1.54,7.47,7.9,7.43,8.73,8.3,19.18,12.49,18.24,6.04,13.67
h_0,1.67,2.17,1.92,1.64,1.18,1.45,3.15,7.31,8.08,7.76,8.54,7.77,6.3,8.94,7.51,16.62
e_0,0.84,2.19,1.6,1.76,1.28,1.39,7.1,8.15,5.41,9.18,7.98,10.79,10.77,26.84,7.85,13.26
a_0,1.62,1.84,2.04,1.72,1.1,0.62,6.02,7.02,7.95,7.63,8.67,7.44,13.27,10.53,26.78,12.05
g_0,1.36,1.35,2.6,2.03,1.63,1.32,5.96,5.68,3.96,7.43,6.69,12.58,10.05,9.14,7.71,7.73
