,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,11.93,0.73,0.75,0.51,0.64,0.63,0.98,0.92,2.77,0.67,1.4,1.07,1.09,1.22,1.02,0.92
e_1,0.6,10.57,0.68,0.96,0.61,0.71,1.15,0.96,0.96,2.3,1.15,1.13,0.95,1.05,1.11,0.8
f_1,0.61,1.61,9.9,0.75,0.66,0.58,0.84,0.8,0.73,0.9,0.79,0.64,0.84,0.77,0.96,0.68
c_1,0.65,0.54,0.72,12.93,1.93,0.75,0.81,0.95,0.42,0.76,0.53,0.8,1.01,0.9,0.82,1.07
b_1,0.75,0.58,0.72,0.68,12.51,2.04,0.81,0.85,0.72,0.84,0.56,0.91,0.89,0.87,0.55,1.05
a_1,0.76,0.68,0.71,0.71,0.67,17.42,1.04,0.98,1.1,1.05,1.24,1.07,1.18,0.77,0.73,0.93
h_1,0.99,0.62,1.16,0.63,0.75,0.7,3.34,1.67,1.14,0.83,1.17,1.24,0.76,1.48,1.25,1.22
g_1,2.05,0.72,0.74,0.59,0.68,0.63,0.98,3.89,1.05,0.64,1.09,1.6,0.96,0.78,1.14,1.2
c_0,1.0,0.89,1.03,0.53,0.49,0.6,1.33,1.02,2.31,0.91,3.27,1.21,1.26,1.23,1.75,1.22
d_0,0.53,0.66,0.91,2.58,0.71,0.67,1.01,0.98,0.52,1.86,0.84,1.0,1.07,1.13,1.11,1.23
b_0,0.91,0.76,0.94,1.05,0.52,0.38,1.12,1.08,1.01,1.1,2.54,1.0,1.4,1.29,3.19,1.19
f_0,1.16,0.62,0.62,0.92,0.62,0.74,1.05,1.29,1.16,1.12,1.23,2.49,1.32,1.28,1.2,2.66
h_0,0.92,0.81,1.38,0.79,0.62,0.72,0.68,1.4,0.97,0.91,1.04,0.85,0.7,1.72,0.84,1.18
g_0,1.6,0.62,0.74,0.73,0.64,0.86,1.08,0.81,1.16,0.86,1.24,2.12,0.93,0.96,1.08,1.33
a_0,0.9,0.73,0.86,1.1,0.85,0.46,1.22,0.99,0.94,0.84,0.96,1.22,1.41,1.36,3.07,1.04
e_0,0.89,0.51,0.98,0.85,0.79,0.78,1.17,1.15,0.92,0.8,1.22,1.05,1.52,1.14,1.13,3.05
