,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.05,1.22,1.54,1.81,1.6,1.41,0.63,0.64,0.65,0.43,0.5,0.54,0.51,0.39,0.4,0.55
f_1,1.76,1.05,1.49,1.64,1.6,1.26,0.51,0.49,0.72,0.48,0.43,0.53,0.42,0.29,0.36,0.33
d_1,2.15,2.03,1.05,1.61,1.52,1.43,0.63,0.68,0.43,0.62,0.54,0.49,0.45,0.4,0.3,0.43
c_1,1.59,1.96,2.31,1.05,2.08,1.52,0.79,0.36,0.67,0.55,0.46,0.49,0.44,0.41,0.37,0.45
b_1,2.37,2.55,2.47,1.41,1.06,2.65,0.92,0.66,0.88,0.84,0.91,0.77,0.58,0.64,0.54,0.55
a_1,2.84,3.31,2.93,2.76,1.43,1.06,1.24,0.93,1.05,0.86,1.14,0.89,1.11,0.62,0.8,0.77
h_1,4.7,5.05,4.41,4.25,3.93,3.22,1.28,1.4,1.68,1.26,1.23,1.3,1.21,1.08,1.06,1.16
d_0,3.76,5.63,6.63,7.11,6.07,4.85,2.43,1.42,2.25,1.33,1.59,1.67,1.5,1.18,1.28,1.52
g_1,5.69,5.48,7.04,5.69,5.04,4.45,1.96,1.74,1.28,1.84,1.72,1.99,1.51,1.0,1.7,1.56
c_0,7.14,6.22,4.01,8.33,5.69,4.75,2.51,2.86,2.17,1.45,2.23,1.94,1.84,1.6,1.53,1.49
b_0,6.13,7.45,5.62,8.1,7.76,4.37,2.65,2.27,2.15,1.19,1.44,1.82,2.16,1.57,1.33,1.68
f_0,6.51,9.17,6.34,6.58,5.5,4.88,2.62,2.04,1.51,1.85,1.88,1.39,1.75,1.53,1.11,2.07
a_0,7.55,8.39,7.15,9.34,9.15,8.39,3.16,2.57,2.44,1.96,1.42,2.02,1.46,1.74,1.51,2.18
h_0,7.68,8.67,7.67,8.5,6.93,6.69,3.61,2.7,3.46,2.2,2.35,2.2,2.19,2.24,1.92,1.92
g_0,8.48,10.14,9.14,9.87,7.76,5.63,2.99,2.79,3.23,2.2,2.44,2.5,2.64,1.49,2.09,2.15
e_0,9.84,12.35,8.81,8.5,8.08,7.41,3.29,2.81,2.6,2.59,2.38,1.55,2.15,2.11,1.75,1.56
