,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.77,1.18,0.88,0.94,0.72,0.54,0.6,0.38,0.4,0.39,0.44,0.35,0.36,0.32,0.34
f_1,1.31,1.0,0.88,0.86,0.87,0.77,0.38,0.43,0.4,0.42,0.39,0.33,0.3,0.27,0.26,0.32
c_1,0.85,1.13,1.0,1.2,1.13,0.68,0.51,0.32,0.4,0.42,0.35,0.38,0.3,0.36,0.33,0.32
d_1,1.14,1.17,0.82,1.0,0.96,0.71,0.52,0.45,0.55,0.39,0.45,0.41,0.37,0.37,0.33,0.24
b_1,1.06,1.15,0.89,1.03,1.0,1.02,0.54,0.46,0.49,0.43,0.36,0.37,0.34,0.37,0.34,0.35
a_1,1.39,1.3,1.47,1.4,0.98,1.0,0.75,0.68,0.57,0.63,0.54,0.51,0.55,0.51,0.5,0.51
h_1,1.95,2.65,1.95,1.95,1.85,1.28,1.0,0.94,0.83,1.08,0.83,0.78,0.71,0.77,0.62,0.71
d_0,1.62,2.27,3.3,2.41,2.26,1.44,1.04,1.0,0.88,1.14,0.78,0.77,0.73,0.76,0.64,0.71
c_0,2.55,2.57,2.44,1.77,1.99,1.75,1.18,1.13,1.0,1.11,1.23,0.97,0.8,0.79,0.62,0.68
g_1,2.45,2.35,2.42,2.68,2.31,1.58,0.91,0.87,0.94,1.0,0.85,1.11,0.86,0.67,0.77,0.66
b_0,2.47,2.57,2.8,2.21,2.52,2.03,1.22,1.29,0.85,1.15,1.0,0.94,1.25,0.79,0.81,0.83
f_0,2.1,3.0,2.66,2.57,2.61,1.89,1.39,1.23,1.03,0.89,1.09,1.0,0.96,1.06,1.16,0.6
a_0,2.78,3.01,3.35,2.74,2.99,2.01,1.46,1.4,1.22,1.16,0.83,1.03,1.0,1.04,0.95,0.85
h_0,2.87,3.7,2.77,2.84,2.59,2.0,1.29,1.23,1.29,1.48,1.19,0.96,0.95,1.0,0.87,1.05
e_0,3.26,3.85,2.89,3.06,3.08,1.97,1.57,1.48,1.54,1.33,1.33,0.87,1.11,1.14,1.0,1.03
g_0,2.96,3.19,3.03,4.25,2.88,2.06,1.4,1.34,1.51,1.6,1.15,1.58,1.14,0.94,0.97,1.0
