,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,0.41,0.66,0.56,0.6,0.53,0.5,0.26,0.33,0.29,0.25,0.3,0.26,0.19,0.26,0.23,0.24
e_1,0.44,0.41,0.6,0.7,0.6,0.57,0.33,0.34,0.34,0.27,0.34,0.31,0.23,0.3,0.34,0.25
d_1,0.64,0.69,0.4,0.57,0.57,0.5,0.31,0.24,0.37,0.29,0.25,0.25,0.22,0.24,0.26,0.17
c_1,0.58,0.48,0.69,0.38,0.72,0.63,0.31,0.3,0.18,0.28,0.27,0.23,0.23,0.26,0.26,0.21
b_1,0.67,0.54,0.65,0.39,0.35,0.75,0.33,0.34,0.25,0.33,0.25,0.34,0.26,0.24,0.28,0.21
a_1,0.71,0.63,0.7,0.59,0.34,0.29,0.32,0.35,0.25,0.32,0.29,0.37,0.26,0.31,0.26,0.24
h_1,0.63,0.58,0.58,0.57,0.51,0.49,0.23,0.32,0.27,0.24,0.23,0.25,0.24,0.21,0.22,0.24
g_1,0.58,0.57,0.61,0.61,0.52,0.47,0.27,0.22,0.26,0.27,0.28,0.26,0.17,0.26,0.24,0.23
d_0,0.52,0.4,0.64,0.72,0.61,0.66,0.33,0.33,0.22,0.24,0.27,0.25,0.22,0.26,0.24,0.26
c_0,0.64,0.6,0.41,0.77,0.58,0.54,0.36,0.3,0.38,0.21,0.24,0.31,0.23,0.26,0.26,0.2
f_0,0.64,0.5,0.55,0.52,0.59,0.54,0.35,0.24,0.26,0.26,0.21,0.25,0.22,0.27,0.28,0.17
b_0,0.6,0.54,0.48,0.73,0.69,0.47,0.35,0.29,0.28,0.17,0.28,0.21,0.22,0.34,0.25,0.22
h_0,0.58,0.55,0.57,0.6,0.52,0.47,0.36,0.34,0.27,0.24,0.26,0.25,0.24,0.25,0.22,0.22
a_0,0.56,0.53,0.54,0.64,0.66,0.68,0.35,0.26,0.26,0.23,0.28,0.17,0.19,0.18,0.25,0.21
e_0,0.72,0.59,0.55,0.56,0.52,0.56,0.35,0.27,0.29,0.23,0.16,0.25,0.24,0.25,0.19,0.18
g_0,0.57,0.53,0.57,0.59,0.57,0.53,0.25,0.31,0.26,0.24,0.25,0.24,0.18,0.23,0.26,0.22
