,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.19,0.91,1.81,1.73,1.74,1.91,0.5,0.31,0.36,0.44,0.36,0.47,0.26,0.3,0.41,1.99
f_1,1.6,0.18,1.57,1.58,1.37,1.5,0.35,0.33,0.32,0.62,0.33,1.62,0.16,0.35,0.3,0.3
d_1,2.3,1.67,0.16,1.73,1.58,1.61,0.5,1.04,0.28,0.28,0.3,0.28,0.24,0.27,0.14,0.3
c_1,1.42,1.78,1.99,0.14,2.0,1.62,0.47,0.18,1.39,0.45,0.38,0.28,0.21,0.44,0.23,0.24
b_1,1.63,1.57,2.09,0.99,0.13,1.73,0.46,0.38,0.47,0.62,1.12,0.28,0.3,0.35,0.24,0.35
a_1,1.79,1.62,1.73,1.97,1.0,0.09,0.39,0.44,0.37,0.6,0.46,0.37,0.22,,0.27,0.28
h_1,0.76,1.04,0.94,0.9,1.0,0.9,0.07,0.2,0.17,0.33,0.18,0.22,0.51,0.17,0.15,0.2
d_0,0.51,1.06,3.09,0.96,0.86,0.86,0.27,0.08,0.23,0.34,0.23,0.2,0.14,0.17,0.16,0.21
c_0,0.99,1.02,0.43,4.39,0.86,1.05,0.31,0.24,0.07,0.25,0.21,0.21,0.15,0.21,0.13,0.23
g_1,0.98,1.23,0.74,1.21,0.92,0.81,0.24,0.2,0.19,0.05,0.2,0.14,0.1,0.26,0.36,0.24
b_0,0.73,0.91,0.79,1.33,2.83,1.02,0.27,0.19,0.1,0.26,0.06,0.13,0.13,0.17,0.11,0.24
f_0,0.9,3.6,0.69,0.77,1.29,1.09,0.24,0.16,0.14,0.14,0.14,0.06,0.15,0.14,0.07,0.14
h_0,0.78,1.09,0.81,1.27,0.93,0.87,0.57,0.17,0.17,0.32,0.15,0.16,0.37,0.17,0.14,0.15
a_0,0.71,0.94,0.93,0.73,1.46,,0.29,0.22,0.14,0.41,0.09,0.16,0.19,0.04,0.12,0.22
g_0,0.88,1.23,0.75,0.84,0.98,0.86,0.21,0.21,0.16,,0.15,0.17,0.11,0.26,0.26,0.18
e_0,2.44,1.63,0.76,0.81,0.85,0.63,0.3,0.17,0.18,0.22,0.16,0.08,0.09,0.22,0.1,0.04
