,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.05,1.15,1.67,1.98,1.99,1.33,0.63,0.65,0.68,0.49,0.48,0.56,0.38,0.48,0.53,0.38
f_1,1.9,1.05,1.43,1.8,1.67,1.37,0.5,0.58,0.65,0.46,0.47,0.63,0.3,0.45,0.36,0.37
d_1,2.2,2.01,1.05,1.78,1.59,1.48,0.66,0.72,0.46,0.59,0.55,0.53,0.44,0.45,0.44,0.29
c_1,1.6,2.0,2.26,1.05,1.99,1.57,0.74,0.39,0.79,0.61,0.57,0.55,0.42,0.48,0.46,0.41
b_1,1.85,2.3,2.39,1.28,1.06,2.36,0.78,0.6,0.73,0.79,0.81,0.55,0.44,0.52,0.48,0.47
a_1,3.14,2.9,2.62,2.57,1.43,1.07,1.19,0.94,0.96,0.82,0.86,0.71,0.6,0.9,0.82,0.6
h_1,4.79,5.66,4.93,5.0,4.58,3.67,1.29,1.57,1.89,1.3,1.34,1.33,1.39,1.17,1.14,1.17
d_0,3.71,5.52,5.98,6.3,5.62,4.61,1.96,1.38,2.2,1.32,1.5,1.54,1.31,1.32,1.43,1.3
g_1,5.9,6.12,6.29,5.63,5.26,4.32,1.69,1.98,1.28,1.79,1.56,1.73,1.13,1.58,1.41,1.48
c_0,6.32,6.37,4.07,9.61,5.61,5.52,2.36,2.88,2.05,1.42,2.0,1.81,1.6,1.75,1.52,1.34
b_0,6.16,6.73,5.46,8.22,8.01,5.03,2.53,2.23,2.47,1.24,1.39,1.73,1.7,1.73,1.66,1.44
f_0,6.38,8.19,6.85,6.94,6.01,5.4,2.59,2.37,1.83,2.04,1.99,1.39,1.79,1.68,1.87,1.16
h_0,7.64,9.36,7.74,7.63,7.31,6.35,3.44,2.4,3.01,2.27,1.99,2.01,2.16,1.73,1.64,1.85
a_0,7.4,8.78,7.82,8.95,9.22,8.21,3.4,2.79,2.8,2.07,1.64,2.47,2.28,1.5,2.11,1.71
e_0,10.78,10.55,8.88,9.16,8.79,6.43,3.59,2.87,2.67,2.51,2.32,1.49,2.14,2.3,1.56,1.89
g_0,9.69,9.71,9.99,9.22,8.13,7.15,2.77,2.69,3.36,2.42,2.34,2.72,1.72,2.29,2.02,2.23
