,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,0.44,0.99,1.78,1.89,1.86,1.89,0.58,0.37,0.54,0.35,0.4,0.36,0.29,0.32,0.26,0.71
f_1,1.6,0.43,1.86,1.41,1.92,1.72,0.38,0.4,0.53,0.36,0.5,0.31,0.17,0.33,0.3,0.33
c_1,1.33,1.93,0.41,2.36,1.9,1.73,0.48,0.2,0.47,0.7,0.33,0.38,0.31,0.36,0.31,0.3
d_1,2.31,1.98,1.8,0.41,1.81,1.38,0.43,0.91,0.33,0.34,0.34,0.42,0.25,0.38,0.16,0.31
b_1,2.07,2.12,1.07,2.08,0.39,1.77,0.62,0.44,0.66,0.46,0.41,0.81,0.28,0.43,0.25,0.35
a_1,2.6,2.34,2.33,2.48,1.01,0.34,0.71,0.63,0.64,0.59,0.55,0.89,0.37,1.01,0.46,0.7
h_1,2.89,3.01,3.01,2.5,2.51,2.65,0.33,0.57,0.74,0.48,0.47,0.5,0.54,0.49,0.39,0.44
d_0,1.54,3.52,3.15,5.68,3.71,3.05,1.02,0.38,1.01,0.65,0.59,0.52,0.5,0.61,0.5,0.6
g_1,3.12,3.69,3.51,3.03,3.01,2.84,0.67,0.79,0.3,0.66,0.6,0.65,0.36,0.71,0.66,0.59
c_0,3.34,3.2,7.33,1.68,3.6,3.25,1.03,1.27,0.95,0.35,0.62,0.62,0.42,0.74,0.44,0.6
f_0,3.29,6.92,3.45,3.21,3.09,3.05,0.98,0.75,0.55,0.65,0.36,0.7,0.53,0.64,0.31,0.77
b_0,3.73,3.63,4.67,2.79,5.54,3.42,1.04,0.77,1.14,0.35,0.63,0.31,0.45,0.63,0.42,0.64
h_0,3.81,4.34,3.33,3.37,3.67,3.92,1.73,0.93,1.13,0.84,0.75,0.81,0.85,0.77,0.58,0.66
a_0,3.75,4.36,4.12,4.24,4.84,6.54,1.1,0.76,1.12,0.78,0.7,0.4,0.57,0.31,0.63,0.66
g_0,4.34,4.48,4.11,3.6,4.88,4.36,0.97,1.02,1.93,0.85,0.83,0.91,0.45,0.97,0.79,0.77
e_0,6.03,5.91,4.78,4.39,4.53,3.5,1.11,0.92,1.31,0.95,0.45,0.87,0.67,0.82,0.5,0.31
