,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.66,0.86,1.6,1.26,1.31,1.18,0.68,0.59,0.44,0.57,0.5,0.54,0.45,0.41,0.6,0.42
f_1,1.43,0.66,1.23,1.17,1.27,1.24,0.44,0.47,0.45,0.62,0.47,0.55,0.4,0.29,0.37,0.39
c_1,1.09,1.53,0.64,1.69,1.27,1.12,0.65,0.33,0.65,0.56,0.46,0.47,0.41,0.41,0.48,0.4
d_1,1.56,1.53,1.15,0.64,1.3,1.16,0.6,0.71,0.51,0.45,0.5,0.52,0.45,0.39,0.42,0.26
b_1,1.35,1.57,0.96,1.36,0.63,1.47,0.64,0.52,0.6,0.6,0.63,0.47,0.51,0.42,0.48,0.43
a_1,1.66,1.54,1.85,1.73,1.11,0.57,0.83,0.73,0.64,0.81,0.61,0.6,0.82,0.55,0.66,0.54
h_1,1.96,2.44,2.11,1.84,1.88,1.51,0.56,0.86,0.71,1.04,0.74,0.73,0.69,0.87,0.6,0.62
d_0,1.34,2.11,2.93,3.08,2.32,1.82,0.95,0.6,0.79,1.25,0.76,0.69,0.68,0.63,0.68,0.69
c_0,2.51,2.41,3.09,1.41,2.21,2.17,1.0,0.98,0.6,1.04,0.86,0.81,0.66,0.62,0.62,0.57
g_1,2.39,2.5,2.33,2.24,2.43,1.92,0.75,0.78,0.75,0.53,0.72,0.84,0.82,0.49,0.69,0.76
b_0,2.36,2.34,2.85,1.91,3.15,2.36,0.98,1.1,0.55,1.04,0.57,0.75,0.96,0.63,0.78,0.69
f_0,1.93,3.45,2.45,2.43,2.53,2.11,1.15,0.96,0.78,0.72,0.85,0.56,0.86,0.79,0.96,0.45
a_0,2.39,2.6,3.16,2.38,3.22,2.63,1.17,1.06,0.84,1.09,0.56,0.86,0.57,0.83,0.86,0.73
h_0,2.52,3.17,2.55,2.46,2.43,2.28,1.38,0.92,0.97,1.22,0.97,0.77,0.88,0.83,0.77,0.79
e_0,3.59,3.48,2.66,2.5,2.8,2.17,1.16,1.14,1.12,1.03,1.03,0.6,0.94,0.79,0.56,0.79
g_0,2.62,2.84,2.77,3.34,2.64,2.11,1.08,1.11,1.13,1.87,0.95,1.16,1.05,0.64,0.87,0.92
