,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.14,15.45,11.78,10.27,10.58,11.53,3.22,1.89,2.14,11.23,2.08,1.88,1.39,2.28,1.87,0.91
e_1,12.18,1.14,6.42,10.78,12.77,10.58,4.15,3.65,2.24,2.65,2.02,3.01,1.63,2.52,11.25,2.07
f_1,9.9,11.4,1.14,12.19,11.11,10.58,2.49,6.07,2.18,2.12,2.15,9.28,1.11,2.11,2.24,1.74
c_1,17.1,11.93,11.9,1.14,15.81,14.16,4.0,3.12,8.82,1.45,3.4,2.89,1.86,2.5,2.28,2.22
b_1,17.43,15.58,15.33,8.45,1.14,22.4,3.84,4.22,3.65,2.77,20.72,2.99,1.73,3.46,3.65,2.5
a_1,31.67,17.93,25.26,22.71,10.54,1.15,5.48,6.34,4.53,4.69,6.13,3.54,5.56,16.6,4.5,2.74
h_1,21.94,27.88,33.44,23.24,23.93,27.51,1.89,9.92,5.86,5.33,5.14,4.19,12.97,4.41,4.13,3.78
g_1,29.14,33.98,38.58,38.94,34.49,26.75,7.3,1.89,6.51,6.55,7.61,5.34,4.0,7.16,7.79,11.81
c_0,15.97,34.31,33.12,157.79,36.38,35.02,9.52,9.92,2.71,8.39,5.46,6.43,4.7,4.61,6.98,4.78
d_0,117.48,16.91,42.3,35.69,39.06,34.39,9.63,15.64,7.11,2.72,7.91,7.75,5.71,8.14,6.64,6.3
b_0,26.78,33.66,35.11,55.52,94.86,35.02,10.31,10.83,3.52,9.39,2.53,7.55,7.38,7.41,7.79,6.63
f_0,31.67,34.31,109.72,37.47,45.02,31.57,10.07,8.09,8.1,7.77,9.54,2.72,7.93,8.14,8.62,3.82
h_0,49.89,45.16,50.88,54.51,73.78,39.31,46.11,14.37,8.6,10.31,10.36,9.28,23.78,8.3,10.66,8.4
a_0,42.35,40.09,76.33,93.69,83.0,96.3,19.47,12.14,8.71,12.84,4.85,10.68,7.02,2.88,10.12,7.56
e_0,47.3,148.67,71.65,85.66,42.16,44.79,11.68,13.54,9.96,9.39,12.52,5.01,9.95,9.88,2.63,8.79
g_0,51.3,56.63,90.03,54.51,61.77,49.38,13.27,32.0,11.24,13.1,9.85,13.48,7.02,11.22,11.57,21.0
