,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.33,0.99,0.99,0.91,0.84,0.82,1.04,0.94,0.85,0.9,0.97,0.83,0.88,0.98,0.74
e_1,0.75,1.0,0.98,1.15,1.07,1.07,1.04,1.04,1.42,1.02,1.09,1.22,0.99,1.0,1.14,1.03
d_1,1.04,0.99,1.0,1.01,1.02,0.89,1.02,0.84,0.99,1.19,1.06,0.93,1.0,1.05,0.83,1.07
c_1,1.01,0.88,0.99,1.0,1.34,1.04,1.0,0.98,0.69,0.91,0.78,1.01,1.02,1.05,0.94,0.93
b_1,1.08,0.93,0.98,0.76,1.0,1.39,1.14,1.02,1.03,1.15,1.05,0.98,1.13,0.87,1.14,1.11
a_1,1.18,0.95,1.13,0.95,0.75,1.0,1.16,1.09,0.97,1.24,1.2,1.04,1.2,1.06,1.02,0.99
h_1,1.22,0.96,0.98,0.99,0.91,0.83,1.0,1.2,1.03,0.89,0.94,0.9,0.96,0.9,1.22,1.01
g_1,0.95,0.97,1.15,0.98,0.97,0.91,0.88,1.0,1.01,0.93,0.99,1.12,0.85,1.01,1.04,0.99
d_0,1.01,0.72,0.91,1.46,1.0,0.97,1.01,0.96,1.0,0.79,1.06,0.95,1.1,1.07,1.04,1.19
c_0,1.19,0.96,0.84,1.11,0.84,0.85,1.08,1.09,1.13,1.0,1.41,0.92,1.15,1.14,1.1,1.18
b_0,1.13,0.93,0.94,1.27,0.93,0.82,1.08,1.08,0.97,0.74,1.0,0.92,1.04,1.43,0.95,1.06
f_0,1.02,0.86,1.09,1.01,0.97,0.98,1.12,0.88,1.04,1.03,1.06,1.0,0.99,1.05,0.87,1.51
h_0,1.19,1.02,0.99,0.98,0.87,0.85,1.05,1.19,0.92,0.88,0.97,0.94,1.0,0.98,1.15,0.87
a_0,1.11,0.99,0.97,1.02,1.1,0.9,1.05,0.98,1.02,0.84,0.73,0.98,0.98,1.0,1.06,1.04
g_0,1.0,0.85,1.2,1.05,0.88,0.93,0.81,0.98,0.99,0.92,1.0,1.2,0.88,1.01,1.0,1.09
e_0,1.38,0.98,0.93,1.05,0.93,0.98,0.98,1.07,0.92,0.86,0.93,0.65,1.13,1.02,0.95,1.0
