,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,0.94,0.43,0.36,0.45,0.32,0.25,0.28,0.28,0.45,0.29,0.28,0.27,0.2,0.27,0.21,0.18
f_1,0.63,0.94,0.44,0.41,0.29,0.27,0.29,0.26,0.26,0.22,0.26,0.14,0.2,0.18,0.22,0.11
d_1,0.45,0.48,0.94,0.36,0.36,0.27,0.32,0.25,0.15,0.43,0.3,0.24,0.21,0.25,0.17,0.15
c_1,0.44,0.48,0.43,0.94,0.59,0.19,0.28,0.23,0.22,0.14,0.19,0.23,0.19,0.26,0.2,0.17
b_1,0.5,0.52,0.47,0.36,0.94,0.45,0.28,0.25,0.25,0.24,0.15,0.28,0.19,0.25,0.18,0.16
a_1,0.47,0.49,0.53,0.64,0.34,0.93,0.43,0.31,0.33,0.33,0.3,0.27,0.14,0.33,0.24,0.27
h_1,0.72,0.81,0.62,0.65,0.57,0.29,0.75,0.49,0.43,0.43,0.41,0.35,0.3,0.34,0.39,0.28
g_1,0.64,0.54,0.92,0.76,0.57,0.46,0.42,0.74,0.38,0.43,0.35,0.55,0.29,0.33,0.24,0.28
d_0,0.63,0.75,0.6,1.09,0.59,0.42,0.45,0.47,0.65,0.34,0.41,0.44,0.29,0.42,0.31,0.3
c_0,0.71,0.9,0.69,0.62,0.51,0.48,0.46,0.46,0.47,0.65,0.67,0.46,0.4,0.44,0.34,0.28
b_0,0.69,0.85,0.7,0.82,0.41,0.49,0.5,0.53,0.48,0.37,0.66,0.46,0.58,0.48,0.43,0.3
f_0,0.6,0.64,0.9,0.81,0.59,0.47,0.61,0.49,0.5,0.47,0.46,0.65,0.42,0.5,0.32,0.54
a_0,0.78,0.85,0.97,0.76,0.61,0.32,0.57,0.54,0.52,0.43,0.47,0.48,0.63,0.37,0.42,0.41
h_0,0.69,1.15,0.84,0.75,0.65,0.46,0.36,0.59,0.45,0.47,0.41,0.38,0.43,0.32,0.48,0.29
g_0,0.8,0.75,1.18,0.72,0.8,0.48,0.49,0.49,0.58,0.57,0.44,0.71,0.42,0.48,0.33,0.35
e_0,0.5,1.2,0.93,0.94,0.81,0.51,0.6,0.53,0.56,0.5,0.48,0.44,0.34,0.49,0.38,0.59
