,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,0.96,0.58,0.59,0.47,0.46,0.35,0.37,0.28,0.29,0.51,0.35,0.36,0.33,0.27,0.26,0.28
e_1,0.49,0.95,0.54,0.66,0.49,0.42,0.39,0.56,0.33,0.31,0.32,0.32,0.36,0.24,0.2,0.28
f_1,0.57,0.82,0.95,0.54,0.39,0.37,0.31,0.37,0.31,0.32,0.24,0.29,0.28,0.25,0.16,0.25
c_1,0.6,0.53,0.55,0.95,0.73,0.34,0.36,0.33,0.28,0.25,0.3,0.24,0.34,0.23,0.24,0.33
b_1,0.62,0.59,0.58,0.53,0.94,0.66,0.41,0.32,0.3,0.37,0.33,0.32,0.31,0.22,0.27,0.35
a_1,0.67,0.62,0.65,0.63,0.49,0.94,0.46,0.44,0.44,0.44,0.42,0.43,0.4,0.23,0.33,0.32
h_1,0.89,0.84,1.14,0.82,0.64,0.46,0.78,0.54,0.62,0.49,0.45,0.46,0.42,0.41,0.36,0.48
d_0,0.78,0.77,0.86,1.32,0.88,0.6,0.59,0.69,0.44,0.38,0.48,0.43,0.49,0.33,0.39,0.44
g_1,1.24,0.8,0.8,0.85,0.74,0.49,0.48,0.59,0.77,0.52,0.66,0.51,0.52,0.48,0.48,0.39
c_0,0.9,0.95,1.03,0.84,0.58,0.54,0.65,0.67,0.53,0.72,0.51,0.88,0.58,0.48,0.47,0.52
f_0,1.03,0.82,0.87,0.96,0.86,0.65,0.59,0.64,0.5,0.55,0.71,0.5,0.56,0.44,0.7,0.42
b_0,1.01,0.94,1.06,1.07,0.51,0.48,0.59,0.67,0.49,0.46,0.55,0.71,0.58,0.78,0.45,0.47
h_0,1.13,0.97,1.29,0.94,0.78,0.62,0.53,0.64,0.61,0.55,0.53,0.52,0.49,0.43,0.41,0.58
a_0,1.11,1.02,1.19,0.99,0.82,0.49,0.71,0.7,0.53,0.64,0.62,0.44,0.61,0.67,0.52,0.5
e_0,1.22,0.7,1.31,1.05,0.88,0.64,0.74,0.65,0.52,0.61,0.49,0.57,0.65,0.48,0.66,0.54
g_0,1.48,0.92,0.98,0.93,0.79,0.71,0.6,0.58,0.5,0.59,0.84,0.62,0.56,0.46,0.46,0.51
