,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.52,0.64,0.81,0.57,0.58,0.59,0.88,1.37,0.92,0.73,0.87,0.88,0.8,0.77,0.66,0.83
f_1,1.04,1.54,0.7,0.77,0.53,0.48,0.65,0.71,0.73,0.75,0.74,0.5,0.8,0.76,0.44,0.83
c_1,0.61,0.63,1.54,0.71,1.1,0.51,0.75,0.69,0.38,0.66,0.54,0.77,0.84,0.67,0.65,0.85
d_1,0.81,0.65,0.62,1.55,0.75,0.51,0.74,0.53,1.24,0.69,0.87,0.81,0.85,0.56,0.65,0.67
b_1,0.67,0.87,0.58,0.66,1.6,1.09,0.81,0.76,1.01,0.76,0.42,0.71,0.84,0.59,0.61,0.75
a_1,0.73,0.87,0.77,0.85,0.46,1.72,1.06,0.94,0.73,0.72,0.94,0.9,0.94,0.42,0.92,0.86
h_1,0.84,1.17,0.88,0.97,0.79,0.62,1.73,0.99,1.06,1.3,0.98,1.0,0.87,0.77,1.0,1.28
d_0,0.78,0.99,1.52,0.67,0.87,0.82,1.06,1.59,0.92,0.96,1.12,1.14,1.26,0.82,1.0,1.25
c_0,0.95,1.14,0.86,0.82,0.57,0.88,1.13,1.2,1.59,0.97,1.72,0.99,1.36,1.09,1.11,1.15
g_1,0.9,0.75,1.01,1.35,0.72,0.78,0.9,1.06,1.1,1.8,1.06,1.41,1.04,0.75,0.89,0.66
b_0,0.95,1.06,1.22,0.96,0.65,0.65,1.09,1.2,1.07,1.0,1.7,1.0,1.24,1.72,1.01,1.15
f_0,0.81,0.79,1.11,0.98,1.04,0.76,1.2,1.19,1.12,0.94,1.16,1.65,1.27,0.99,1.66,0.96
h_0,0.91,1.35,1.11,1.02,0.91,0.82,0.86,1.13,1.01,1.24,1.2,0.99,0.98,0.91,1.02,1.43
a_0,0.96,0.99,1.05,1.19,1.01,0.67,1.37,1.33,1.07,1.3,0.96,1.1,1.6,1.71,0.97,1.23
e_0,0.5,1.38,1.08,1.08,1.07,0.8,1.33,1.09,1.24,1.06,1.21,0.96,1.29,1.09,1.75,1.23
g_0,0.88,0.92,1.03,1.48,1.05,0.79,1.19,0.9,1.17,1.06,1.19,1.58,0.96,1.09,1.25,1.0
