,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.68,2.2,1.93,1.81,1.77,1.78,0.69,0.71,1.01,0.75,0.68,1.51,0.46,0.69,0.81,0.64
e_1,1.34,0.66,1.97,2.14,2.03,2.22,1.02,1.03,1.04,0.89,0.71,0.78,0.59,0.74,2.86,0.66
c_1,2.42,2.19,0.65,2.3,2.53,1.94,0.9,0.48,0.79,1.01,0.72,0.73,0.66,0.66,0.59,0.56
d_1,2.58,2.37,2.06,0.64,2.01,1.98,0.91,1.4,0.71,0.78,0.81,0.74,0.67,0.78,0.52,0.49
b_1,2.27,2.61,1.43,2.42,0.63,2.34,1.24,0.87,0.93,0.82,1.41,0.73,0.72,0.74,0.66,0.73
a_1,2.74,2.59,2.62,2.63,1.59,0.57,1.4,1.05,1.42,1.1,1.06,1.16,0.72,2.99,0.92,0.61
h_1,3.02,2.35,3.03,2.64,2.25,2.2,0.6,1.01,1.34,0.89,0.93,0.85,1.16,0.93,0.91,0.77
d_0,3.4,1.52,3.94,3.99,3.44,2.61,1.42,0.67,1.52,1.01,1.06,1.0,1.04,0.95,0.98,0.87
g_1,3.27,2.74,3.71,2.88,3.25,2.55,1.07,1.03,0.56,1.02,1.32,1.13,0.72,1.16,0.93,1.15
c_0,2.99,2.43,6.58,2.02,3.71,2.67,1.24,1.13,1.54,0.65,1.39,1.13,1.09,0.95,0.92,0.94
b_0,3.02,3.02,3.37,2.49,7.82,2.86,1.32,1.07,1.09,0.6,0.64,0.96,0.79,1.45,1.16,0.95
f_0,7.92,2.89,3.41,3.86,2.73,2.14,1.61,1.19,0.87,1.38,1.18,0.62,0.97,1.23,1.42,0.63
h_0,3.91,3.69,3.5,2.91,3.17,3.47,2.39,1.12,1.56,1.05,1.15,1.03,1.72,1.03,0.99,1.09
a_0,3.73,3.59,3.9,3.27,3.72,,1.62,1.31,1.16,1.2,0.66,0.94,1.07,0.59,1.12,1.16
e_0,4.42,,4.23,4.53,4.58,2.66,1.51,1.14,1.54,1.2,1.11,0.61,1.06,1.15,0.59,0.7
g_0,3.4,3.59,4.1,3.49,2.98,4.57,1.75,1.54,2.45,1.45,1.29,1.55,0.86,1.21,1.82,1.84
