,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,114.32,62.68,56.76,55.21,97.23,269.65,8231.38,10937.03,24865.26,12507.35,29052.64,33665.98,68412.87,92126.52,107236.8,143816.29
f_1,45.43,113.89,95.56,74.79,90.27,224.83,7102.96,14639.56,16205.89,13438.05,24123.68,18873.34,69740.82,68757.23,65247.84,152051.89
e_1,46.62,46.34,129.43,75.9,105.61,235.65,6696.02,24024.36,14592.05,15341.91,22823.42,32398.41,76578.79,83249.42,60765.18,183426.01
c_1,55.09,41.78,50.55,144.88,154.94,167.48,6717.49,11304.24,7963.17,13272.93,17136.17,28785.92,62317.79,78523.41,97615.27,170867.72
b_1,43.33,42.25,43.67,50.51,203.88,373.76,6327.48,12940.67,10361.32,11322.51,13456.94,25460.65,49690.9,50010.49,84724.42,113577.17
a_1,31.52,40.08,34.32,46.6,39.08,431.07,4415.07,7612.09,8799.89,9092.21,15199.65,21283.47,44580.79,37644.02,57540.07,111590.81
h_1,13.92,17.58,14.64,18.5,26.09,65.28,3289.79,3497.73,3996.7,4544.84,5816.93,8412.88,14033.83,19780.78,28177.74,52528.58
d_0,6.32,10.41,10.28,25.59,24.13,66.41,1698.81,4620.69,2917.39,3181.61,6073.12,6998.81,16538.15,18786.59,19871.4,44041.2
c_0,10.93,11.68,13.35,12.76,21.48,57.29,1859.68,3336.15,4854.95,3472.68,8330.64,7544.82,14961.73,22285.75,20809.63,38360.33
g_1,15.5,10.05,10.01,15.5,23.94,49.24,1402.65,2726.21,3150.35,5679.91,4849.57,10143.19,13551.78,14389.88,22626.96,31156.32
b_0,9.38,10.69,10.89,15.19,12.43,37.64,1682.03,2495.09,2709.96,3028.69,7050.27,6354.9,15109.99,26633.17,23070.63,34210.54
f_0,10.78,6.36,9.16,12.75,20.42,33.31,1217.63,2263.05,3004.48,2470.92,4307.34,8585.68,13599.68,14748.67,32681.34,25286.59
h_0,7.43,9.23,7.15,9.57,15.28,36.69,797.89,1956.81,2297.45,2765.49,3540.87,4537.98,7257.75,12254.02,13255.3,31320.74
a_0,7.04,6.86,7.47,9.23,12.58,19.63,1120.52,1801.11,1897.83,1998.99,2935.71,3552.82,9349.85,18420.45,13153.74,22150.52
e_0,6.35,7.16,6.41,7.76,14.49,26.04,838.35,1799.61,2326.21,1723.29,2648.13,3521.7,10136.62,10940.27,20800.82,23691.6
g_0,8.24,5.28,4.62,7.15,12.74,27.69,674.31,1187.0,1633.41,1308.8,2602.41,4898.93,6445.41,8523.77,11662.42,16470.72
