,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.42,1.0,2.0,1.91,1.88,1.65,0.61,0.63,0.38,0.37,0.41,0.41,0.38,0.25,0.73,0.33
f_1,1.46,0.42,1.6,2.29,1.51,1.95,0.38,0.58,0.32,0.31,0.31,0.67,0.35,0.17,0.36,0.3
d_1,2.2,2.01,0.42,1.7,1.71,1.52,0.48,0.33,0.33,0.89,0.34,0.33,0.35,0.24,0.3,0.17
c_1,1.44,1.76,2.38,0.41,2.12,1.46,0.45,0.41,0.65,0.2,0.37,0.36,0.3,0.28,0.37,0.24
b_1,2.16,2.4,1.74,0.95,0.4,2.06,0.57,0.59,0.49,0.45,1.02,0.38,0.46,0.31,0.32,0.29
a_1,2.73,2.26,2.33,2.36,1.22,0.33,0.71,0.92,0.58,0.53,0.65,0.5,1.07,0.41,0.4,0.36
h_1,2.53,2.88,2.37,2.76,2.8,2.45,0.33,0.72,0.54,0.55,0.6,0.52,0.53,0.61,0.54,0.44
g_1,2.87,3.44,2.93,3.43,3.35,2.95,0.69,0.29,0.61,0.73,0.67,0.69,0.66,0.33,0.7,0.61
c_0,3.6,3.23,1.69,8.25,3.13,4.0,1.02,1.06,0.36,1.07,0.57,0.65,0.74,0.43,0.55,0.42
d_0,1.75,3.02,6.56,3.54,3.5,3.11,1.18,1.24,0.82,0.37,0.83,0.77,0.62,0.46,0.63,0.56
b_0,3.36,3.37,2.67,5.82,4.66,2.52,0.89,1.09,0.34,0.82,0.33,0.66,0.75,0.54,0.58,0.47
f_0,3.65,6.02,3.25,3.25,3.86,3.38,1.13,0.53,0.67,0.69,0.64,0.33,0.68,0.59,0.59,0.28
a_0,3.53,3.67,3.93,5.06,4.75,6.12,1.14,1.16,0.65,0.99,0.39,1.05,0.31,0.57,0.75,0.78
h_0,3.87,4.04,4.12,4.31,4.27,3.53,1.66,1.3,0.78,1.01,0.71,0.8,0.81,0.99,0.74,0.54
e_0,6.84,5.34,4.02,4.07,3.78,4.51,1.47,1.14,0.86,0.98,0.9,0.42,0.94,0.62,0.32,0.42
g_0,4.7,4.97,4.1,4.4,4.27,4.08,0.92,1.57,0.81,1.12,0.88,0.8,0.79,0.48,0.78,0.81
