,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.19,0.94,0.88,0.87,0.71,0.61,0.67,0.62,0.61,0.61,0.58,0.48,0.55,0.52,0.6
e_1,0.87,1.0,1.13,0.92,0.98,0.87,0.72,0.89,0.7,0.63,0.62,0.73,0.57,0.57,0.65,0.6
c_1,1.04,0.89,1.0,1.05,1.24,0.88,0.71,0.5,0.64,0.58,0.55,0.57,0.64,0.57,0.47,0.57
d_1,1.13,1.08,0.94,1.0,0.93,0.83,0.71,0.66,0.6,0.83,0.72,0.6,0.6,0.62,0.52,0.47
b_1,1.13,1.03,0.81,1.11,1.0,1.32,0.81,0.64,0.69,0.72,0.68,0.65,0.68,0.53,0.58,0.59
a_1,1.4,1.13,1.18,1.18,0.78,1.0,0.93,0.78,0.85,0.8,0.88,0.74,0.74,0.69,0.71,0.69
h_1,1.56,1.38,1.45,1.39,1.28,1.05,1.0,0.95,0.97,0.87,0.91,0.79,0.85,0.82,0.87,0.92
d_0,1.44,1.11,2.08,1.45,1.53,1.3,1.03,1.0,1.15,0.83,0.99,0.89,1.0,0.95,1.02,0.84
g_1,1.59,1.41,1.56,1.73,1.46,1.18,1.02,0.88,1.0,0.96,0.93,1.01,0.81,0.94,0.83,0.88
c_0,1.6,1.56,1.78,1.2,1.39,1.21,1.11,1.19,1.03,1.0,1.36,1.03,1.11,1.14,0.91,0.89
b_0,1.64,1.57,1.85,1.34,1.51,1.09,1.13,1.05,1.03,0.72,1.0,1.0,1.03,1.38,0.94,0.87
f_0,1.73,1.43,1.68,1.67,1.55,1.4,1.23,1.1,0.93,1.02,0.98,1.0,1.08,1.1,1.42,0.73
h_0,2.08,1.73,1.49,1.63,1.46,1.36,1.21,1.02,1.23,0.95,1.02,0.92,1.0,0.85,0.94,1.01
a_0,1.77,1.77,1.86,1.65,1.71,1.38,1.18,1.09,1.07,0.95,0.74,0.92,1.12,1.0,0.93,1.01
e_0,1.83,1.61,2.01,1.91,1.74,1.36,1.2,0.95,1.21,1.11,1.12,0.69,1.1,1.08,1.01,0.87
g_0,1.69,1.7,1.76,2.09,1.72,1.39,1.09,1.15,1.12,1.15,1.17,1.32,1.0,0.97,1.14,1.0
