,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.37,1.03,1.52,1.73,3.6,17.03,33.5,31.57,37.81,43.55,44.72,78.39,85.63,87.89,139.15
e_1,0.73,1.0,1.04,1.51,1.66,3.67,17.61,30.43,29.53,45.05,40.43,50.13,79.02,79.49,96.44,125.77
d_1,0.95,0.98,1.0,1.2,1.45,3.18,15.35,21.35,36.51,29.09,42.54,41.41,69.1,68.94,93.1,94.72
c_1,0.67,0.66,0.82,1.0,1.68,2.77,12.7,20.59,21.12,17.81,25.45,35.87,58.7,53.65,72.18,92.62
b_1,0.57,0.61,0.69,0.62,1.0,3.06,10.53,16.98,20.52,18.35,23.44,29.02,45.28,40.81,59.53,71.71
a_1,0.27,0.27,0.31,0.36,0.33,1.0,4.87,7.42,8.33,8.96,12.53,12.49,22.15,22.5,31.7,36.04
h_1,0.06,0.06,0.06,0.08,0.09,0.21,1.0,1.79,1.66,1.84,2.21,2.81,4.93,4.76,5.43,8.4
g_1,0.03,0.03,0.05,0.05,0.06,0.13,0.57,1.0,1.19,1.13,1.4,1.89,2.57,2.66,3.83,5.04
c_0,0.03,0.03,0.03,0.05,0.05,0.11,0.61,0.85,1.0,1.33,1.78,1.5,2.54,2.87,3.47,4.27
d_0,0.02,0.02,0.04,0.06,0.06,0.12,0.54,0.91,0.74,1.0,1.08,1.43,2.41,2.3,3.22,3.88
b_0,0.02,0.02,0.02,0.04,0.04,0.08,0.46,0.73,0.56,0.89,1.0,1.08,2.08,2.66,2.67,3.16
f_0,0.02,0.02,0.02,0.03,0.03,0.08,0.37,0.52,0.63,0.71,0.9,1.0,1.69,1.62,2.78,2.24
h_0,0.01,0.01,0.01,0.02,0.02,0.04,0.21,0.39,0.39,0.41,0.47,0.57,1.0,0.89,1.17,1.76
a_0,0.01,0.01,0.01,0.02,0.02,0.04,0.21,0.37,0.34,0.43,0.37,0.62,1.11,1.0,1.28,1.61
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.18,0.25,0.31,0.31,0.39,0.37,0.88,0.8,1.0,1.14
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.12,0.19,0.25,0.24,0.3,0.43,0.58,0.63,0.85,1.0
