,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.28,0.89,1.03,0.95,0.69,0.59,0.6,0.76,0.54,0.65,0.41,0.5,0.46,0.45,0.55
e_1,0.78,1.0,0.93,1.08,0.8,0.97,0.8,0.86,0.73,0.73,0.5,0.66,0.59,0.61,0.83,0.59
d_1,1.12,1.08,1.0,0.82,0.88,0.83,0.69,0.84,0.55,0.88,0.66,0.54,0.64,0.63,0.64,0.41
c_1,0.97,0.92,1.22,1.0,1.24,0.85,0.77,0.51,0.59,0.64,0.62,0.65,0.71,0.55,0.59,0.54
b_1,1.05,1.25,1.13,0.81,1.0,1.44,0.81,0.73,0.67,0.64,0.83,0.49,0.53,0.49,0.41,0.48
a_1,1.44,1.03,1.21,1.18,0.7,1.0,0.84,0.86,0.69,0.86,0.89,0.92,0.69,0.93,0.8,0.85
h_1,1.74,1.23,1.42,1.34,1.26,1.09,1.0,0.96,1.34,0.84,0.81,0.8,0.75,0.7,0.78,0.93
d_0,1.66,1.12,1.28,2.0,1.39,1.24,1.09,1.0,0.83,0.93,0.84,1.0,0.83,0.81,0.82,0.99
g_1,1.37,1.36,1.79,1.6,1.5,1.39,0.75,1.15,1.0,0.75,0.86,1.1,0.84,0.89,0.91,0.72
c_0,1.86,1.3,1.16,1.63,1.51,1.23,1.23,1.12,1.31,1.0,1.34,0.94,0.99,1.01,0.88,0.98
b_0,1.61,1.88,1.49,1.72,1.34,1.05,1.35,1.13,1.17,0.76,1.0,1.02,0.9,1.28,0.92,0.76
f_0,2.2,1.5,1.85,1.51,2.06,1.03,1.21,1.01,0.87,1.1,1.02,1.0,0.95,0.86,1.23,0.78
h_0,2.1,1.62,1.53,1.51,1.84,1.44,1.34,1.17,1.2,1.02,1.04,1.04,1.0,1.08,0.92,1.28
a_0,2.27,1.66,1.58,1.81,2.23,,1.44,1.23,1.22,1.04,0.79,1.09,0.94,1.0,1.25,1.04
e_0,2.36,1.23,1.52,1.79,2.27,1.2,1.27,1.24,1.13,1.15,1.11,0.77,1.04,0.83,1.0,1.33
g_0,1.81,1.61,2.41,1.75,1.94,1.16,1.11,1.0,1.43,1.04,1.12,1.36,0.81,0.97,0.86,1.0
