,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.66,1.16,0.95,1.08,1.0,0.9,0.37,0.43,0.46,0.37,0.37,0.42,0.25,0.36,0.34,0.33
e_1,0.76,0.65,1.07,1.22,1.13,0.94,0.5,0.53,0.49,0.37,0.41,0.49,0.33,0.34,0.37,0.52
d_1,1.18,1.19,0.64,1.04,1.11,0.9,0.43,0.6,0.34,0.45,0.34,0.38,0.29,0.33,0.23,0.35
c_1,1.15,0.94,1.32,0.64,1.24,0.92,0.47,0.25,0.53,0.43,0.35,0.39,0.34,0.37,0.27,0.33
b_1,1.3,1.14,1.19,0.75,0.62,1.44,0.58,0.4,0.53,0.53,0.53,0.39,0.34,0.37,0.35,0.37
a_1,1.69,1.43,1.49,1.42,0.73,0.56,0.82,0.49,0.72,0.51,0.7,0.5,0.48,0.61,0.4,0.43
h_1,1.93,1.77,1.76,1.93,1.52,1.17,0.55,0.58,0.84,0.68,0.66,0.6,0.6,0.53,0.51,0.57
d_0,1.86,1.19,2.14,2.56,1.91,1.81,1.03,0.58,0.91,0.66,0.78,0.68,0.58,0.63,0.62,0.65
g_1,1.98,1.89,1.92,2.0,1.94,1.56,0.7,0.79,0.52,0.74,0.75,0.73,0.47,0.64,0.65,0.59
c_0,2.01,1.99,1.33,2.53,1.84,1.96,1.01,0.89,0.8,0.57,0.89,0.72,0.61,0.7,0.56,0.71
b_0,2.11,2.0,1.77,2.54,2.28,1.62,0.9,0.81,0.82,0.46,0.55,0.63,0.6,0.77,0.53,0.62
f_0,2.61,1.76,2.05,2.01,1.94,1.92,1.01,0.74,0.64,0.68,0.78,0.55,0.63,0.8,0.42,0.73
h_0,2.42,2.09,2.24,2.24,2.39,1.71,1.21,0.9,0.92,0.78,0.73,0.74,0.79,0.77,0.67,0.6
a_0,2.44,2.47,2.35,2.33,2.98,2.01,1.27,1.1,1.02,0.74,0.55,0.86,0.66,0.57,0.67,0.81
g_0,2.39,2.14,2.7,2.57,2.47,2.28,0.94,0.86,1.22,0.89,0.85,0.99,0.6,0.71,0.76,0.73
e_0,3.31,2.6,2.1,2.55,2.39,2.31,1.09,0.88,1.12,0.83,0.93,0.52,0.79,0.82,0.64,0.53
