,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,5.71,3.51,2.01,2.39,2.22,1.95,7.39,10.18,7.53,8.84,10.68,6.22,12.99,8.56,7.78,14.07
e_1,2.52,5.88,1.88,2.64,2.0,2.2,8.42,18.35,7.64,8.89,10.53,11.62,15.88,11.56,8.34,15.89
d_1,2.57,2.11,6.46,1.46,1.99,2.47,8.13,6.14,8.5,19.77,13.74,12.45,19.11,15.44,13.19,16.04
c_1,2.21,2.02,2.03,6.83,4.08,2.05,8.26,10.64,7.65,5.43,8.69,10.56,15.97,10.22,10.72,13.68
b_1,1.86,2.17,2.45,2.37,7.87,4.89,8.25,9.07,7.98,8.49,6.07,10.63,13.62,8.51,9.02,16.03
a_1,2.28,2.14,2.5,2.43,2.13,10.91,7.78,9.78,8.94,10.15,11.3,14.36,18.78,9.08,14.44,19.21
h_1,3.34,2.15,2.84,2.34,2.34,2.11,16.96,10.61,12.73,11.02,11.99,11.05,13.58,11.93,13.22,22.02
d_0,2.6,2.2,1.46,4.53,2.92,2.07,8.78,17.84,8.34,7.87,10.31,13.07,17.02,10.67,14.19,17.91
g_1,2.13,2.17,3.88,2.32,2.53,2.21,7.51,9.78,21.21,10.78,13.51,19.89,17.67,12.89,13.77,13.49
c_0,2.7,2.15,2.96,1.95,2.21,2.51,9.78,9.85,12.0,19.21,23.9,14.3,18.0,18.01,13.2,19.6
b_0,2.68,2.71,2.85,2.57,1.55,1.45,9.79,11.8,10.37,11.44,22.34,13.82,18.3,27.71,14.56,17.52
f_0,2.02,1.81,3.18,2.44,2.97,2.55,8.7,9.75,10.95,12.63,13.82,23.54,22.81,14.05,27.51,22.21
h_0,3.11,2.07,2.61,2.42,2.38,2.82,7.08,10.3,11.01,11.45,14.18,13.21,14.5,12.68,14.39,21.47
a_0,2.59,2.2,3.01,2.76,2.56,1.33,9.58,10.77,8.85,12.38,14.56,14.94,18.16,27.32,12.39,16.37
e_0,2.63,1.55,2.98,2.2,3.17,2.46,10.41,11.43,11.31,11.77,15.59,14.79,17.98,12.2,28.78,24.77
g_0,1.98,1.9,4.12,2.26,2.77,2.66,8.81,8.9,8.72,11.25,13.11,20.64,18.23,15.29,12.92,15.53
