,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,5.86,1.48,1.05,1.47,1.11,1.12,4.44,4.99,11.52,6.81,6.71,6.7,5.89,9.97,9.55,4.85
f_1,2.13,5.91,1.42,1.33,1.01,1.33,5.21,4.05,5.54,4.81,6.57,2.34,6.23,7.12,9.7,4.13
d_1,1.21,1.47,6.32,1.06,1.33,1.36,4.95,4.93,2.11,11.98,7.6,6.48,6.82,9.73,8.51,5.72
c_1,1.27,1.43,1.19,6.54,2.44,0.88,4.35,4.13,5.66,2.01,3.97,6.27,5.45,9.86,8.61,6.88
b_1,1.29,1.36,1.37,1.23,7.85,2.39,4.09,4.0,4.93,4.5,1.98,6.47,5.11,8.8,7.48,6.17
a_1,1.06,1.19,1.42,1.64,1.2,11.59,5.32,4.96,6.1,6.6,6.24,5.75,2.3,10.88,9.2,9.89
h_1,1.62,2.04,1.49,1.61,1.59,1.04,15.55,7.25,7.43,7.56,7.88,7.38,7.01,7.47,13.91,8.8
g_1,1.38,1.02,2.46,1.79,1.47,1.77,5.31,17.47,6.02,7.24,6.56,13.12,6.78,9.24,6.62,8.5
d_0,1.56,1.61,0.99,2.94,1.49,1.49,5.08,6.07,15.08,5.03,7.22,8.73,6.22,11.25,10.13,9.12
c_0,1.52,1.9,1.92,1.04,1.18,1.76,5.36,6.06,6.78,15.66,13.68,9.06,9.54,12.1,11.45,7.88
b_0,1.4,1.9,1.68,1.75,0.73,1.81,5.76,6.99,7.76,6.9,17.6,9.18,15.8,12.75,14.29,8.61
f_0,1.13,0.95,2.08,1.84,1.45,1.69,7.38,7.63,8.28,7.88,8.53,18.11,10.02,13.21,11.78,19.42
a_0,1.44,1.71,2.18,1.55,1.36,0.67,6.19,6.41,7.28,6.53,9.32,8.94,21.89,9.36,14.19,10.96
h_0,1.33,2.36,1.79,1.59,1.54,1.56,2.94,7.08,6.37,7.02,6.56,6.46,8.98,5.63,16.0,7.73
g_0,1.43,1.33,2.5,1.36,1.77,1.46,4.94,4.7,8.0,8.29,6.79,13.31,8.81,12.87,7.65,8.87
e_0,0.7,2.05,1.75,1.91,1.94,1.69,6.12,6.26,8.14,6.77,7.15,8.99,6.81,11.93,10.82,25.56
