,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.24,0.23,0.19,0.24,0.2,0.17,0.41,0.3,0.99,0.48,0.48,0.51,0.61,0.42,0.1,0.42
f_1,0.4,2.25,0.21,0.25,0.18,0.13,0.3,0.33,0.42,0.47,0.48,0.11,0.53,0.43,0.32,0.52
d_1,0.22,0.27,2.37,0.15,0.19,0.18,0.54,0.43,0.14,0.89,0.5,0.39,0.67,0.36,0.31,0.49
c_1,0.23,0.21,0.23,2.42,0.4,0.17,0.31,0.34,0.51,0.11,0.34,0.41,0.59,0.28,0.38,0.52
b_1,0.23,0.23,0.22,0.25,2.51,0.31,0.41,0.43,0.45,0.43,0.06,0.37,0.58,0.35,0.36,0.45
a_1,0.23,0.24,0.24,0.16,0.22,3.03,0.43,0.44,0.44,0.49,0.42,0.62,0.53,,0.34,0.43
h_1,0.33,0.59,0.47,0.43,0.31,0.23,2.86,0.72,0.57,0.67,0.68,0.61,0.33,0.5,0.72,1.24
g_1,0.38,0.32,0.62,0.31,0.32,0.35,0.55,3.07,0.54,0.89,0.82,1.21,0.9,0.44,0.62,0.36
d_0,0.38,0.46,0.17,0.73,0.33,0.27,0.74,0.47,2.27,0.67,0.7,0.85,0.99,0.66,0.83,0.96
c_0,0.45,0.47,0.44,0.14,0.31,0.27,0.99,0.71,0.92,2.29,1.68,1.07,1.01,0.71,0.61,0.88
b_0,0.44,0.5,0.41,0.41,0.15,0.2,0.75,0.73,0.88,0.82,2.61,0.82,1.3,1.44,0.84,1.13
f_0,0.38,0.16,0.46,0.53,0.37,0.34,0.8,0.72,0.83,0.75,1.18,2.51,0.94,0.55,1.51,0.87
h_0,0.32,0.7,0.37,0.35,0.34,0.31,0.25,0.8,0.85,0.67,0.59,0.89,0.41,0.48,0.49,1.07
a_0,0.38,0.52,0.43,0.54,0.34,,0.84,0.45,0.77,0.78,0.75,0.54,1.2,2.9,0.58,1.1
e_0,0.16,0.34,0.51,0.56,0.38,0.27,1.19,0.84,0.7,1.01,0.76,1.01,1.1,0.6,3.0,0.89
g_0,0.39,0.44,0.63,0.27,0.41,0.28,0.57,0.24,0.67,0.77,0.64,0.85,0.86,0.63,0.57,0.43
