,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,23.7,0.31,0.29,0.39,0.29,0.37,0.7,0.68,0.85,1.68,0.96,0.87,0.88,0.71,0.23,1.0
f_1,0.66,24.76,0.38,0.34,0.29,0.26,0.7,0.58,0.77,0.68,0.88,0.2,0.84,0.68,0.56,0.62
d_1,0.32,0.37,26.27,0.24,0.27,0.33,1.0,0.85,1.49,0.16,0.88,1.01,0.76,0.73,0.78,0.81
c_1,0.37,0.33,0.21,28.33,0.82,0.25,0.57,0.78,0.14,0.86,0.71,0.71,0.85,0.86,0.78,0.77
b_1,0.27,0.43,0.3,0.38,33.91,0.91,0.58,0.63,0.63,0.68,0.13,0.53,0.69,0.62,0.71,0.63
a_1,0.31,0.26,0.39,0.38,0.3,54.51,0.92,0.68,0.73,0.86,0.54,0.8,1.35,0.16,0.68,1.04
h_1,0.56,0.96,0.73,0.6,0.63,0.42,9.13,1.61,1.4,1.03,1.64,1.03,0.48,1.42,1.29,2.36
g_1,0.39,0.48,1.46,0.48,0.62,0.54,1.28,11.65,1.69,0.92,1.02,2.62,1.82,1.31,1.48,0.73
c_0,0.63,0.74,0.87,0.25,0.48,0.75,1.33,1.54,5.21,1.4,3.11,1.76,1.8,1.66,1.73,1.91
d_0,0.54,0.61,0.1,1.85,0.63,0.59,1.26,1.07,1.29,5.37,1.32,1.94,1.46,1.75,1.99,1.78
b_0,0.79,0.77,0.59,0.58,0.25,0.53,1.41,1.28,1.51,1.67,6.31,1.96,2.13,3.76,2.56,1.75
f_0,0.49,0.19,0.79,0.87,0.51,0.64,1.53,1.41,1.71,1.86,1.83,6.87,1.96,2.04,5.09,1.55
h_0,0.55,1.15,0.72,0.57,0.61,0.53,0.6,1.73,1.19,1.3,1.18,1.63,0.57,1.55,1.94,2.2
a_0,0.81,0.63,1.03,0.65,0.64,,0.93,1.08,1.35,1.05,1.18,1.18,2.0,7.69,1.64,1.48
e_0,0.18,0.73,0.73,0.81,0.78,0.71,1.27,1.46,1.82,1.82,1.84,1.95,1.75,1.9,9.57,2.34
g_0,0.46,0.66,1.01,0.57,0.73,0.48,1.33,0.61,1.18,1.46,1.52,2.59,1.52,1.83,1.32,0.71
