,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,1.36,1.0,1.27,1.22,2.94,16.88,27.63,26.79,29.8,35.42,50.98,69.87,62.46,76.39,117.88
e_1,0.73,1.0,0.94,1.18,1.52,2.91,22.14,28.85,29.03,40.84,40.42,59.88,88.14,80.62,118.96,113.96
d_1,0.99,1.05,1.0,0.97,1.12,2.8,18.32,21.11,33.66,27.09,38.16,54.27,65.75,67.94,85.69,77.93
c_1,0.79,0.85,1.03,1.0,1.64,2.44,17.09,20.19,21.24,18.78,27.91,43.64,63.78,70.55,71.95,97.25
b_1,0.82,0.66,0.91,0.61,1.0,3.06,14.98,21.89,24.99,22.55,29.4,40.45,51.02,68.35,91.74,89.69
a_1,0.34,0.34,0.36,0.41,0.32,1.0,8.45,10.56,9.96,10.58,15.24,18.7,26.45,27.22,35.34,39.95
h_1,0.06,0.05,0.06,0.06,0.07,0.12,1.0,1.69,1.38,1.32,2.01,2.47,3.15,3.69,4.31,6.12
g_1,0.04,0.03,0.05,0.05,0.04,0.1,0.59,1.0,0.89,0.96,1.37,2.33,2.53,2.19,3.95,3.88
c_0,0.04,0.04,0.03,0.05,0.04,0.09,0.75,1.18,1.0,1.17,1.91,1.87,2.96,2.87,3.81,3.81
d_0,0.03,0.02,0.03,0.05,0.05,0.1,0.76,1.03,0.79,1.0,1.32,1.84,2.42,2.64,2.97,4.34
b_0,0.03,0.02,0.03,0.04,0.03,0.07,0.52,0.72,0.54,0.75,1.0,1.45,2.95,2.05,2.48,2.57
f_0,0.02,0.02,0.02,0.02,0.02,0.05,0.39,0.43,0.52,0.54,0.66,1.0,1.38,1.55,2.51,1.66
a_0,0.01,0.01,0.01,0.02,0.02,0.04,0.32,0.39,0.33,0.38,0.36,0.69,1.0,1.21,1.36,1.41
h_0,0.02,0.01,0.01,0.01,0.01,0.04,0.27,0.45,0.35,0.39,0.49,0.65,0.84,1.0,1.23,1.63
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.24,0.27,0.28,0.34,0.4,0.4,0.73,0.73,1.0,1.1
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.16,0.27,0.27,0.23,0.35,0.64,0.75,0.58,0.85,1.0
