,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,1.11,5.33,4.33,4.59,4.44,4.12,1.16,1.72,0.8,0.91,0.85,0.79,0.54,0.8,0.73,0.41
e_1,4.76,1.12,2.54,4.62,5.08,4.42,1.59,1.01,1.61,1.09,1.18,0.99,0.77,0.98,2.45,0.83
f_1,4.04,4.23,1.12,4.5,5.14,5.42,0.84,1.01,1.5,0.78,1.57,0.78,0.44,0.81,0.81,0.67
c_1,5.99,3.76,4.96,1.12,4.55,5.06,1.26,0.53,1.49,1.82,0.86,0.92,0.77,0.99,0.89,0.86
b_1,5.92,6.03,7.9,3.23,1.13,5.14,1.85,1.1,1.64,1.67,1.08,3.73,0.93,1.42,1.27,0.93
a_1,7.75,6.88,7.85,10.17,3.95,1.13,3.07,1.63,2.54,1.8,1.73,2.3,1.5,4.01,1.88,1.33
h_1,14.7,14.97,17.69,16.08,14.58,13.49,1.78,3.43,6.06,2.94,3.65,3.25,3.91,2.96,2.73,2.47
d_0,30.41,10.64,19.07,18.24,22.97,17.67,5.77,2.37,5.69,3.77,3.4,4.11,2.89,3.42,3.63,3.22
g_1,20.22,19.38,20.69,22.21,21.86,14.64,3.9,4.55,1.76,4.19,3.51,4.14,2.39,4.27,3.89,3.68
c_0,10.22,23.42,20.08,39.34,21.02,16.14,6.75,6.5,6.17,2.19,4.45,5.27,3.23,3.89,4.01,3.06
f_0,19.03,24.06,41.13,21.91,24.42,18.81,7.24,4.61,4.06,4.81,2.28,4.66,3.27,3.25,4.01,1.94
b_0,17.88,20.4,24.04,31.1,33.47,20.92,6.58,5.74,5.84,2.31,4.28,2.29,3.18,4.67,4.38,3.04
h_0,26.75,24.23,32.83,25.51,30.81,23.84,11.88,6.15,7.03,5.69,5.54,4.82,5.67,4.96,4.81,3.95
a_0,25.6,34.21,30.76,32.33,39.29,64.06,8.47,9.11,6.88,6.12,6.35,3.11,5.33,2.56,4.94,4.56
e_0,28.24,63.44,52.52,34.01,29.79,22.78,9.15,8.13,6.81,6.01,3.16,6.58,4.42,5.36,2.5,4.51
g_0,29.4,35.6,41.63,29.68,26.07,30.6,7.73,7.51,15.95,6.01,6.73,7.76,4.06,6.4,6.02,6.08
