,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,0.45,29.64,15.37,36.66,38.19,32.99,10.45,10.06,5.16,4.69,9.19,8.16,8.23,,7.68,6.99
d_1,39.56,0.44,33.92,34.8,29.05,59.57,9.58,5.27,,6.89,5.99,5.13,5.75,8.7,6.44,2.62
f_1,41.28,31.22,0.44,37.61,36.8,30.52,5.93,12.65,8.34,7.4,4.94,,2.99,9.11,6.06,4.85
c_1,34.93,42.32,39.77,0.41,46.41,25.78,11.43,11.0,3.22,,6.93,8.74,6.25,8.11,8.41,4.41
b_1,39.0,34.1,41.39,22.54,0.39,42.4,8.67,9.24,8.52,10.34,,6.75,5.64,7.63,,8.29
a_1,46.69,42.8,62.33,44.61,29.2,0.33,13.6,11.13,8.25,10.99,9.03,10.84,5.52,8.58,,7.13
h_1,17.33,19.59,17.93,20.79,14.18,14.7,0.36,6.67,3.37,4.36,2.92,3.1,,5.01,4.28,2.54
g_1,17.45,16.26,21.23,16.2,18.72,18.97,3.76,0.36,4.89,3.72,5.28,9.12,1.92,2.99,4.84,
d_0,9.06,,14.52,11.54,12.75,24.28,4.34,4.18,0.5,4.53,2.87,2.49,2.28,3.42,2.7,2.57
c_0,15.99,8.67,17.63,,12.74,22.02,4.22,3.93,4.15,0.47,3.68,4.18,1.81,3.01,3.21,2.76
b_0,22.66,15.49,15.95,21.4,,17.12,6.78,4.7,4.35,2.29,0.45,3.43,1.6,2.1,2.83,2.88
f_0,17.17,19.36,,17.43,16.64,18.12,7.63,3.35,3.26,2.6,4.29,0.44,2.0,4.91,2.83,1.58
h_0,13.23,14.64,17.49,11.0,13.32,13.31,,4.41,2.51,1.94,3.09,2.0,,2.12,2.91,1.17
e_0,,20.41,33.53,27.86,28.72,15.95,4.04,4.42,3.6,5.11,5.47,2.96,2.65,0.36,,2.38
a_0,17.95,25.25,20.84,23.31,,,6.9,7.15,4.87,4.88,1.84,3.77,3.62,,0.37,2.98
g_0,16.46,19.49,14.19,16.16,18.48,12.25,2.3,,3.58,3.72,4.05,2.94,1.47,2.12,3.7,
