,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,3.62,0.75,0.48,0.39,0.33,0.37,0.81,0.63,0.6,0.8,0.69,0.14,0.69,0.52,0.78,0.45
e_1,0.52,3.67,0.36,0.27,0.36,0.34,0.75,1.54,0.8,0.73,1.05,0.89,0.93,0.22,1.16,0.84
c_1,0.37,0.38,4.15,0.42,0.78,0.41,0.69,0.74,0.67,0.15,0.51,0.72,0.77,0.7,0.68,0.99
d_1,0.43,0.41,0.29,4.69,0.33,0.29,0.83,0.16,0.74,1.75,0.93,0.71,1.13,0.93,0.68,1.02
b_1,0.37,0.35,0.34,0.44,4.92,0.85,0.6,0.78,0.71,0.7,0.18,1.03,0.96,1.0,0.55,0.9
a_1,0.42,0.38,0.38,0.48,0.3,6.79,0.68,0.89,0.7,0.65,0.84,0.9,1.1,1.07,0.23,0.89
h_1,0.93,0.64,0.66,0.66,0.72,0.53,5.02,1.21,1.66,1.33,1.21,1.36,0.51,1.65,1.2,1.68
d_0,0.79,0.56,1.4,0.24,0.53,0.47,1.37,3.5,1.54,1.26,1.65,1.43,1.75,1.69,1.67,1.74
g_1,0.66,0.47,0.6,1.13,0.77,0.54,1.19,1.21,6.45,1.62,1.44,2.15,1.26,1.53,1.5,0.4
c_0,0.91,0.67,0.39,0.94,0.46,0.53,1.26,1.33,1.37,4.17,3.45,1.7,1.61,1.42,1.86,1.57
b_0,0.8,0.75,0.68,0.78,0.26,0.61,1.7,1.52,1.36,1.47,4.85,1.72,1.37,1.66,3.25,1.68
f_0,0.27,0.62,0.93,0.74,0.82,0.77,1.53,1.81,1.47,1.23,1.74,5.35,1.53,3.22,1.33,2.13
h_0,0.8,0.61,0.82,0.78,0.71,0.68,0.41,1.42,1.63,1.71,1.38,1.32,0.82,2.07,1.27,2.21
e_0,0.75,0.14,1.23,0.6,0.82,0.7,1.67,1.25,1.25,1.72,1.39,2.03,1.8,6.09,1.19,2.13
a_0,0.66,0.64,0.89,0.63,0.69,0.32,1.61,1.55,1.54,1.4,1.72,1.57,1.79,1.38,6.48,2.02
g_0,0.45,0.59,0.78,1.15,0.86,0.54,1.35,1.33,0.47,1.3,1.25,2.7,1.37,1.98,1.1,0.64
