,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.91,0.57,0.31,0.31,0.23,0.16,0.25,0.23,0.26,0.22,0.22,0.15,0.27,0.17,0.18,0.1
e_1,0.34,0.91,0.26,0.35,0.28,0.2,0.29,0.21,0.52,0.25,0.28,0.24,0.26,0.15,0.22,0.12
d_1,0.37,0.29,0.91,0.25,0.25,0.18,0.32,0.25,0.18,0.48,0.34,0.23,0.32,0.21,0.23,0.17
c_1,0.38,0.32,0.26,0.9,0.45,0.21,0.27,0.21,0.25,0.16,0.17,0.23,0.28,0.2,0.2,0.15
b_1,0.37,0.31,0.28,0.29,0.89,0.38,0.28,0.21,0.28,0.22,0.15,0.21,0.34,0.13,0.25,0.15
a_1,0.41,0.31,0.34,0.29,0.28,0.88,0.28,0.25,0.26,0.32,0.28,0.23,0.35,0.12,0.21,0.14
h_1,0.53,0.35,0.38,0.31,0.23,0.16,0.61,0.35,0.32,0.29,0.29,0.21,0.21,0.2,0.31,0.18
g_1,0.37,0.31,0.51,0.31,0.26,0.19,0.32,0.6,0.27,0.28,0.28,0.33,0.28,0.21,0.19,0.17
d_0,0.38,0.34,0.22,0.61,0.27,0.2,0.31,0.2,0.49,0.19,0.31,0.23,0.3,0.2,0.22,0.2
c_0,0.45,0.33,0.41,0.26,0.18,0.18,0.37,0.3,0.31,0.51,0.57,0.25,0.37,0.26,0.3,0.23
b_0,0.44,0.35,0.41,0.34,0.17,0.16,0.37,0.3,0.32,0.32,0.52,0.25,0.35,0.43,0.25,0.23
f_0,0.31,0.28,0.42,0.35,0.3,0.21,0.35,0.29,0.35,0.34,0.34,0.5,0.33,0.24,0.32,0.41
h_0,0.52,0.36,0.37,0.32,0.27,0.2,0.23,0.32,0.27,0.27,0.29,0.23,0.24,0.23,0.34,0.17
a_0,0.49,0.32,0.38,0.34,0.27,0.12,0.37,0.26,0.3,0.3,0.3,0.27,0.36,0.44,0.29,0.25
g_0,0.34,0.3,0.52,0.33,0.26,0.19,0.26,0.18,0.29,0.31,0.32,0.43,0.34,0.21,0.23,0.23
e_0,0.48,0.31,0.34,0.39,0.25,0.18,0.34,0.28,0.33,0.29,0.31,0.24,0.41,0.28,0.3,0.42
