,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.88,0.16,0.08,0.1,0.07,0.03,0.09,0.09,0.07,0.06,0.06,0.01,0.07,0.03,0.03,0.04
e_1,0.1,0.88,0.08,0.09,0.06,0.05,0.08,0.15,0.06,0.08,0.05,0.06,0.07,0.05,0.02,0.05
d_1,0.1,0.09,0.88,0.05,0.06,0.05,0.09,0.02,0.06,0.15,0.08,0.06,0.07,0.06,0.06,0.05
c_1,0.1,0.08,0.08,0.88,0.12,0.04,0.08,0.1,0.05,0.02,0.06,0.06,0.09,0.04,0.04,0.05
b_1,0.09,0.11,0.09,0.09,0.87,0.1,0.08,0.07,0.06,0.06,0.01,0.05,0.05,0.03,0.02,0.05
a_1,0.1,0.08,0.1,0.08,0.06,0.87,0.07,0.08,0.05,0.08,0.07,0.07,0.08,0.02,0.05,0.08
h_1,0.25,0.12,0.17,0.13,0.1,0.07,0.53,0.13,0.15,0.14,0.1,0.07,0.05,0.07,0.09,0.12
d_0,0.21,0.17,0.04,0.3,0.1,0.07,0.12,0.36,0.07,0.1,0.1,0.11,0.11,0.06,0.09,0.1
g_1,0.14,0.12,0.24,0.13,0.12,0.09,0.09,0.12,0.52,0.11,0.14,0.19,0.11,0.09,0.1,0.04
c_0,0.2,0.13,0.18,0.05,0.11,0.08,0.17,0.13,0.15,0.39,0.25,0.11,0.15,0.13,0.09,0.12
b_0,0.17,0.19,0.17,0.16,0.03,0.05,0.17,0.15,0.16,0.14,0.37,0.12,0.12,0.18,0.11,0.09
f_0,0.09,0.14,0.22,0.13,0.17,0.06,0.11,0.13,0.14,0.15,0.13,0.34,0.14,0.09,0.19,0.12
h_0,0.23,0.14,0.13,0.14,0.11,0.1,0.06,0.14,0.11,0.13,0.13,0.11,0.06,0.09,0.09,0.12
a_0,0.21,0.16,0.18,0.15,0.11,,0.17,0.13,0.13,0.15,0.13,0.12,0.12,0.34,0.1,0.11
e_0,0.2,0.05,0.16,0.15,0.15,0.07,0.18,0.19,0.12,0.17,0.17,0.13,0.16,0.07,0.35,0.18
g_0,0.13,0.13,0.27,0.11,0.14,0.07,0.13,0.11,0.07,0.11,0.12,0.19,0.09,0.08,0.09,0.05
