,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,1.0,1.18,0.93,1.0,0.92,0.76,0.6,0.67,0.66,0.57,0.57,0.57,0.54,0.49,0.53,0.46
e_1,0.84,1.0,0.95,1.11,0.94,0.86,0.8,0.7,0.87,0.66,0.68,0.68,0.66,0.58,0.58,0.59
d_1,1.1,1.03,1.0,0.93,0.85,0.82,0.71,0.56,0.62,0.87,0.72,0.66,0.58,0.56,0.5,0.59
c_1,0.99,0.91,1.1,1.0,1.3,0.93,0.65,0.64,0.5,0.58,0.51,0.55,0.57,0.62,0.55,0.51
b_1,1.08,1.08,1.16,0.79,1.0,1.24,0.78,0.77,0.66,0.73,0.65,0.64,0.58,0.65,0.6,0.59
a_1,1.27,1.13,1.18,1.05,0.82,1.0,0.9,0.81,0.78,0.78,0.79,0.74,0.71,0.89,0.68,0.66
h_1,1.69,1.32,1.36,1.5,1.26,1.08,1.0,1.11,0.97,0.89,0.92,0.84,0.78,0.9,0.86,0.85
g_1,1.44,1.46,1.71,1.57,1.37,1.26,0.89,1.0,0.89,0.93,0.87,1.04,0.77,0.77,0.9,0.78
d_0,1.47,1.19,1.51,2.02,1.57,1.28,1.02,1.17,1.0,0.76,0.9,0.88,0.95,0.97,0.88,0.87
c_0,1.73,1.58,1.18,1.79,1.36,1.23,1.09,1.07,1.27,1.0,1.36,0.99,1.01,0.97,0.87,0.88
b_0,1.74,1.49,1.4,1.89,1.57,1.16,1.09,1.14,1.11,0.76,1.0,0.87,1.26,1.05,0.96,0.84
f_0,1.79,1.59,1.54,1.75,1.53,1.37,1.19,0.95,1.15,0.95,1.09,1.0,0.96,0.99,0.8,1.35
a_0,1.84,1.56,1.63,1.76,1.74,1.46,1.3,1.25,1.08,0.96,0.85,1.05,1.0,1.02,1.01,0.86
h_0,1.99,1.75,1.74,1.69,1.53,1.13,1.08,1.3,1.04,1.02,0.93,0.99,0.95,1.0,1.06,0.87
g_0,1.92,1.72,1.98,1.81,1.61,1.51,1.16,1.1,1.14,1.12,1.05,1.24,1.0,0.93,1.0,0.99
e_0,2.21,1.82,1.73,1.95,1.6,1.49,1.16,1.27,1.04,1.11,1.25,0.71,1.13,1.13,1.0,1.0
