,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.07,3.94,2.91,3.16,3.22,2.68,0.92,0.93,1.09,0.87,1.01,1.59,0.54,0.94,0.92,0.84
e_1,2.09,1.07,3.41,3.91,3.42,2.71,1.56,0.97,1.57,0.99,0.87,0.96,0.72,0.88,0.86,2.0
d_1,3.74,3.96,1.07,3.38,3.12,2.81,1.29,2.89,0.79,1.1,1.03,0.86,0.82,0.87,0.55,0.78
c_1,3.72,2.86,4.51,1.07,3.55,3.04,1.25,0.69,1.61,1.74,1.01,1.11,0.83,0.97,0.63,1.07
b_1,4.39,4.29,3.98,2.54,1.07,4.76,1.76,1.45,1.63,1.46,2.14,1.0,0.81,0.91,0.94,1.03
a_1,6.21,6.46,4.9,5.04,3.17,1.07,2.36,1.98,1.95,1.83,1.79,1.62,1.65,2.58,1.02,1.47
h_1,8.35,5.88,7.14,7.72,6.38,4.82,1.36,1.89,2.51,2.01,1.82,1.47,3.38,1.92,1.9,1.36
d_0,9.39,5.39,14.76,11.51,8.54,6.84,3.38,1.62,3.48,2.67,2.04,2.21,2.61,2.03,2.19,2.41
g_1,9.77,8.32,10.59,7.58,7.47,7.38,3.03,2.94,1.38,2.73,2.6,2.95,1.63,1.91,2.74,2.03
c_0,13.35,8.56,5.41,20.06,8.67,7.49,3.51,2.8,3.15,1.6,2.58,2.24,2.11,2.51,2.03,2.53
b_0,10.45,10.45,8.68,11.89,19.96,6.66,4.4,4.07,2.91,1.74,1.65,2.6,2.09,2.88,2.04,1.78
f_0,16.72,10.21,10.54,8.76,10.72,8.99,5.31,3.31,2.52,2.86,2.7,1.69,2.44,2.54,1.76,3.03
h_0,15.84,12.64,10.15,10.05,12.64,9.07,6.13,3.48,4.96,3.65,3.49,3.45,4.98,3.05,2.8,3.02
a_0,12.79,11.92,16.09,11.98,14.77,19.41,4.87,4.14,4.83,2.99,2.04,2.86,3.05,1.68,2.77,3.42
g_0,12.84,12.48,14.75,14.96,12.51,14.14,4.03,3.54,8.39,4.07,3.77,3.91,2.41,3.39,4.39,4.19
e_0,12.45,19.65,13.94,12.24,12.85,12.23,5.61,4.04,5.52,3.81,3.69,2.46,3.68,3.93,3.02,1.64
