,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,0.16,0.41,0.43,0.44,0.44,0.42,0.1,0.15,0.1,0.09,0.14,0.09,0.05,0.08,0.09,0.09
d_1,0.54,0.16,0.53,0.46,0.46,0.37,0.13,0.08,0.13,0.08,0.08,0.08,0.06,0.04,0.08,0.07
e_1,0.26,0.46,0.16,0.52,0.47,0.49,0.15,0.15,0.11,0.11,0.12,0.11,0.07,0.07,0.1,0.2
c_1,0.44,0.6,0.38,0.15,0.43,0.37,0.11,0.12,0.05,0.13,0.1,0.08,0.07,0.07,0.09,0.08
b_1,0.51,0.47,0.45,0.24,0.14,0.55,0.14,0.14,0.1,0.12,0.09,0.15,0.07,0.07,0.09,0.09
a_1,0.53,0.54,0.41,0.56,0.23,0.09,0.14,0.13,0.12,0.09,0.09,0.11,0.07,0.07,0.15,0.09
h_1,0.41,0.42,0.39,0.41,0.37,0.39,0.06,0.13,0.08,0.08,0.08,0.08,0.09,0.05,0.06,0.07
g_1,0.46,0.37,0.4,0.46,0.41,0.34,0.09,0.05,0.09,0.08,0.07,0.09,0.05,0.06,0.08,0.07
d_0,0.39,0.59,0.24,0.42,0.45,0.41,0.12,0.15,0.05,0.08,0.09,0.08,0.06,0.06,0.08,0.09
c_0,0.5,0.23,0.42,0.71,0.43,0.37,0.13,0.1,0.13,0.05,0.07,0.08,0.06,0.06,0.08,0.08
f_0,0.59,0.35,0.41,0.43,0.36,0.34,0.11,0.08,0.11,0.07,0.05,0.08,0.05,0.04,0.07,0.07
b_0,0.46,0.32,0.36,0.49,0.58,0.34,0.11,0.1,0.09,0.05,0.08,0.05,0.06,0.05,0.08,0.07
h_0,0.41,0.35,0.37,0.4,0.43,0.36,0.17,0.11,0.09,0.08,0.08,0.07,0.08,0.06,0.07,0.07
g_0,0.41,0.38,0.4,0.44,0.36,0.38,0.09,0.15,0.08,0.08,0.08,0.08,0.04,0.07,0.07,0.07
a_0,0.35,0.38,0.38,0.46,0.54,0.63,0.11,0.13,0.07,0.07,0.08,0.04,0.06,0.05,0.03,0.07
e_0,0.61,0.35,0.49,0.38,0.36,0.33,0.1,0.09,0.09,0.06,0.04,0.08,0.06,0.05,0.09,0.03
