,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.43,0.95,0.79,0.86,0.92,0.8,0.2,0.19,0.2,0.25,0.16,0.2,0.15,0.1,0.15,0.14
c_1,0.94,0.41,0.75,0.96,1.23,0.85,0.23,0.12,0.25,0.28,0.18,0.18,0.18,0.14,0.18,0.13
e_1,0.66,1.02,0.41,1.0,0.91,0.89,0.28,0.23,0.21,0.29,0.21,0.26,0.17,0.14,0.28,0.17
b_1,1.12,0.64,0.98,0.4,1.06,1.03,0.32,0.18,0.28,0.31,0.29,0.21,0.23,0.15,0.19,0.15
d_1,1.02,1.0,1.18,0.95,0.39,0.89,0.27,0.32,0.2,0.17,0.21,0.19,0.23,0.14,0.17,0.09
a_1,1.3,1.29,1.45,0.69,1.22,0.33,0.39,0.36,0.27,0.4,0.31,0.24,0.37,0.18,0.24,0.17
h_1,1.78,2.02,1.55,1.76,1.72,1.54,0.28,0.39,0.41,0.57,0.35,0.36,0.34,0.37,0.33,0.24
d_0,1.99,2.07,1.2,2.03,2.56,1.91,0.59,0.3,0.44,0.57,0.36,0.38,0.35,0.25,0.43,0.27
c_0,2.13,3.3,2.1,2.14,1.18,1.77,0.61,0.66,0.28,0.48,0.39,0.38,0.48,0.3,0.42,0.24
g_1,1.91,2.05,2.01,1.88,1.99,1.72,0.43,0.46,0.46,0.26,0.39,0.4,0.36,0.22,0.42,0.33
b_0,2.03,3.26,2.1,3.04,1.76,2.09,0.64,0.62,0.28,0.54,0.27,0.42,0.4,0.29,0.4,0.26
f_0,3.21,2.57,2.31,2.15,1.71,1.87,0.62,0.47,0.44,0.44,0.45,0.27,0.47,0.34,0.42,0.21
a_0,2.4,3.03,2.41,3.34,2.18,2.91,0.77,0.6,0.41,0.7,0.27,0.52,0.26,0.35,0.46,0.35
h_0,2.35,2.65,2.48,2.71,2.54,2.27,0.82,0.49,0.51,0.61,0.46,0.48,0.44,0.42,0.44,0.32
e_0,3.53,2.7,4.19,2.37,2.43,2.36,0.81,0.56,0.56,0.69,0.57,0.29,0.53,0.38,0.26,0.26
g_0,2.82,2.83,2.75,2.8,2.56,2.28,0.65,0.61,0.55,0.96,0.52,0.54,0.62,0.3,0.49,0.43
