,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.4,0.64,0.54,0.64,0.59,0.53,0.27,0.26,0.34,0.25,0.25,0.31,0.18,0.23,0.26,0.23
e_1,0.44,0.4,0.58,0.67,0.68,0.65,0.32,0.28,0.34,0.32,0.27,0.31,0.24,0.3,0.33,0.26
d_1,0.64,0.68,0.39,0.55,0.51,0.53,0.29,0.3,0.23,0.36,0.28,0.27,0.23,0.26,0.28,0.17
c_1,0.6,0.52,0.71,0.38,0.66,0.52,0.34,0.27,0.33,0.17,0.24,0.25,0.22,0.26,0.25,0.21
b_1,0.68,0.56,0.67,0.41,0.37,0.73,0.33,0.33,0.34,0.26,0.31,0.24,0.25,0.23,0.25,0.23
a_1,0.69,0.6,0.62,0.64,0.38,0.3,0.37,0.32,0.33,0.27,0.39,0.27,0.23,0.37,0.27,0.26
h_1,0.62,0.57,0.54,0.58,0.5,0.47,0.23,0.28,0.34,0.3,0.29,0.27,0.24,0.23,0.24,0.22
c_0,0.64,0.61,0.4,0.82,0.55,0.5,0.31,0.22,0.26,0.32,0.29,0.27,0.21,0.27,0.25,0.2
g_1,0.59,0.53,0.61,0.61,0.57,0.48,0.26,0.28,0.21,0.27,0.24,0.27,0.19,0.28,0.27,0.23
d_0,0.56,0.41,0.6,0.71,0.64,0.56,0.3,0.25,0.32,0.22,0.25,0.26,0.22,0.27,0.24,0.23
b_0,0.58,0.57,0.47,0.73,0.65,0.48,0.28,0.18,0.32,0.28,0.21,0.25,0.21,0.29,0.26,0.25
f_0,0.71,0.56,0.51,0.57,0.6,0.54,0.3,0.27,0.23,0.26,0.28,0.21,0.24,0.26,0.29,0.16
h_0,0.61,0.56,0.55,0.59,0.53,0.49,0.33,0.27,0.31,0.25,0.24,0.24,0.24,0.24,0.25,0.24
a_0,0.61,0.53,0.55,0.61,0.67,0.63,0.33,0.22,0.32,0.23,0.17,0.22,0.23,0.18,0.23,0.22
e_0,0.71,0.59,0.51,0.59,0.52,0.55,0.29,0.23,0.28,0.29,0.24,0.16,0.22,0.24,0.18,0.21
g_0,0.63,0.54,0.6,0.6,0.51,0.5,0.25,0.29,0.33,0.27,0.24,0.3,0.17,0.25,0.22,0.22
