,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.74,1.31,0.75,0.85,0.68,0.68,0.89,0.85,0.87,0.88,0.93,0.73,0.93,0.93,0.77,0.93
e_1,0.84,1.75,0.73,0.95,0.82,0.68,1.06,0.91,1.51,0.91,1.08,1.05,1.01,0.99,0.79,1.0
d_1,0.81,0.78,1.95,0.64,0.7,0.8,0.96,1.13,0.71,1.64,1.25,1.09,1.14,1.07,1.08,1.1
c_1,0.84,0.76,0.79,1.93,1.44,0.79,0.84,0.78,0.87,0.63,0.55,0.85,0.92,0.81,0.83,0.87
b_1,0.86,0.7,0.78,0.85,2.21,1.54,1.01,0.88,0.94,0.84,0.73,0.95,0.88,0.69,0.94,0.96
a_1,0.88,0.78,0.82,0.83,0.73,3.02,1.12,1.03,1.02,0.95,0.98,0.98,0.88,0.85,1.14,0.96
h_1,1.14,0.86,0.93,0.86,0.74,0.76,1.65,1.36,0.96,0.91,1.07,0.99,0.85,0.93,0.97,1.18
g_1,0.83,0.72,1.33,0.88,0.72,0.8,1.0,2.01,0.81,1.04,1.1,1.42,1.11,1.0,1.13,0.9
d_0,0.9,0.76,0.68,1.48,0.97,0.72,0.92,0.91,1.41,0.66,0.94,0.98,1.05,1.04,1.1,1.07
c_0,0.9,0.84,1.08,0.75,0.63,0.69,1.14,1.28,1.11,1.63,2.01,1.14,1.26,1.63,1.24,1.19
b_0,0.95,0.86,0.99,0.97,0.61,0.57,1.12,1.22,1.05,1.12,1.71,1.12,1.17,2.23,1.31,1.08
f_0,0.79,0.66,1.14,0.96,0.85,0.79,1.05,0.95,1.06,1.05,1.12,1.77,1.22,1.31,2.12,1.16
h_0,1.06,0.86,1.07,0.84,0.76,0.69,0.76,1.26,0.95,1.0,1.08,1.0,0.87,1.09,0.99,1.28
a_0,1.0,0.85,1.11,0.97,0.85,0.61,0.99,1.05,0.93,0.97,1.03,1.18,1.27,1.86,1.29,1.1
e_0,0.93,0.7,1.01,0.85,0.74,0.85,0.98,1.08,1.0,1.2,1.07,1.11,1.26,1.18,2.21,1.2
g_0,0.77,0.78,1.35,0.87,0.82,0.71,0.9,0.96,0.85,1.05,1.02,1.61,0.96,1.1,1.32,0.84
