,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.92,0.7,0.34,0.38,0.29,0.2,0.37,0.27,0.4,0.28,0.28,0.2,0.3,0.2,0.13,0.26
e_1,0.47,0.92,0.3,0.51,0.32,0.2,0.39,0.28,0.6,0.27,0.32,0.28,0.36,0.24,0.17,0.27
d_1,0.48,0.38,0.92,0.27,0.31,0.25,0.34,0.33,0.27,0.59,0.38,0.31,0.4,0.25,0.25,0.32
c_1,0.37,0.36,0.37,0.92,0.62,0.24,0.38,0.3,0.36,0.2,0.19,0.25,0.34,0.21,0.21,0.27
b_1,0.46,0.35,0.43,0.35,0.9,0.44,0.36,0.32,0.3,0.31,0.2,0.26,0.42,0.23,0.23,0.27
a_1,0.46,0.43,0.41,0.43,0.36,0.89,0.36,0.34,0.37,0.33,0.29,0.24,0.39,0.19,0.19,0.29
h_1,0.63,0.49,0.44,0.39,0.33,0.2,0.67,0.37,0.38,0.27,0.32,0.27,0.33,0.24,0.24,0.38
g_1,0.41,0.35,0.63,0.39,0.38,0.24,0.34,0.63,0.33,0.35,0.33,0.45,0.41,0.26,0.32,0.26
d_0,0.44,0.46,0.28,0.7,0.41,0.22,0.39,0.34,0.56,0.24,0.28,0.29,0.38,0.23,0.25,0.26
c_0,0.5,0.44,0.46,0.33,0.28,0.25,0.41,0.36,0.38,0.56,0.61,0.3,0.47,0.34,0.28,0.33
b_0,0.46,0.44,0.46,0.41,0.3,0.2,0.45,0.35,0.42,0.35,0.58,0.32,0.46,0.5,0.27,0.33
f_0,0.36,0.37,0.49,0.36,0.37,0.29,0.45,0.34,0.4,0.41,0.34,0.56,0.49,0.31,0.56,0.36
h_0,0.52,0.43,0.48,0.45,0.34,0.24,0.36,0.43,0.38,0.29,0.3,0.32,0.29,0.28,0.27,0.39
a_0,0.46,0.42,0.52,0.38,0.38,0.21,0.43,0.39,0.38,0.34,0.35,0.35,0.43,0.47,0.28,0.29
e_0,0.5,0.35,0.47,0.44,0.35,0.27,0.42,0.32,0.39,0.28,0.33,0.31,0.45,0.28,0.47,0.32
g_0,0.44,0.43,0.61,0.38,0.3,0.22,0.4,0.35,0.34,0.37,0.31,0.45,0.38,0.23,0.3,0.21
