,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.92,0.69,0.41,0.38,0.26,0.2,0.33,0.29,0.4,0.32,0.29,0.2,0.36,0.23,0.27,0.15
e_1,0.48,0.92,0.5,0.35,0.34,0.22,0.35,0.28,0.6,0.32,0.29,0.26,0.41,0.23,0.3,0.15
c_1,0.45,0.37,0.92,0.33,0.59,0.24,0.36,0.29,0.34,0.21,0.2,0.29,0.37,0.22,0.28,0.19
d_1,0.48,0.43,0.31,0.92,0.29,0.22,0.37,0.35,0.27,0.58,0.39,0.33,0.43,0.25,0.32,0.22
b_1,0.49,0.36,0.44,0.35,0.91,0.42,0.36,0.29,0.34,0.29,0.21,0.28,0.4,0.17,0.3,0.16
a_1,0.52,0.39,0.41,0.36,0.33,0.89,0.37,0.29,0.37,0.3,0.28,0.26,0.43,0.18,0.31,0.14
h_1,0.62,0.43,0.37,0.46,0.31,0.22,0.65,0.34,0.36,0.32,0.35,0.26,0.37,0.24,0.38,0.19
g_1,0.43,0.42,0.39,0.59,0.31,0.23,0.39,0.63,0.37,0.37,0.37,0.44,0.46,0.29,0.29,0.26
d_0,0.45,0.4,0.72,0.31,0.4,0.19,0.38,0.35,0.55,0.24,0.28,0.33,0.41,0.25,0.29,0.23
c_0,0.49,0.46,0.38,0.47,0.25,0.25,0.36,0.34,0.42,0.53,0.61,0.35,0.51,0.36,0.39,0.26
b_0,0.52,0.47,0.41,0.5,0.22,0.24,0.39,0.36,0.36,0.39,0.54,0.33,0.46,0.5,0.37,0.26
f_0,0.45,0.35,0.43,0.49,0.34,0.21,0.41,0.38,0.41,0.42,0.39,0.56,0.53,0.3,0.37,0.47
h_0,0.57,0.43,0.43,0.46,0.34,0.21,0.32,0.43,0.36,0.36,0.34,0.31,0.33,0.26,0.37,0.22
a_0,0.52,0.47,0.45,0.47,0.3,0.15,0.4,0.37,0.34,0.31,0.35,0.36,0.44,0.5,0.33,0.27
g_0,0.48,0.39,0.39,0.6,0.32,0.22,0.37,0.3,0.29,0.35,0.37,0.47,0.44,0.27,0.26,0.27
e_0,0.46,0.33,0.44,0.45,0.41,0.24,0.4,0.37,0.39,0.33,0.42,0.35,0.5,0.27,0.33,0.49
