,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.48,1.08,0.67,0.66,0.53,0.47,0.72,0.68,0.74,0.68,0.65,0.4,0.72,0.57,0.41,0.74
e_1,0.67,1.5,0.58,0.82,0.67,0.52,0.79,0.55,0.78,1.37,0.76,0.79,0.91,0.79,0.52,0.91
d_1,0.75,0.74,1.55,0.59,0.61,0.62,0.86,0.72,1.26,0.49,0.86,0.78,0.81,0.63,0.57,0.72
c_1,0.75,0.6,0.75,1.57,1.0,0.56,0.68,0.72,0.43,0.66,0.67,0.79,0.89,0.63,0.75,0.66
b_1,0.81,0.66,0.69,0.67,1.61,0.9,0.7,0.76,0.84,0.76,0.57,0.72,0.89,0.56,0.67,0.73
a_1,0.89,0.7,0.74,0.7,0.61,1.76,1.02,0.92,0.93,1.03,1.07,0.73,0.95,0.68,0.7,0.95
h_1,1.19,0.92,0.88,0.91,0.73,0.6,1.76,1.32,1.05,0.92,1.02,0.83,1.06,1.05,0.95,1.19
g_1,0.85,0.91,1.34,0.79,0.9,0.75,0.78,1.83,1.27,0.72,1.17,1.57,1.05,1.0,1.01,0.9
c_0,1.24,0.95,0.92,0.8,0.67,0.66,1.18,1.0,1.57,1.3,1.8,1.27,1.34,1.11,1.06,1.27
d_0,1.11,0.8,0.65,1.61,0.87,0.57,1.23,1.08,0.75,1.57,1.11,0.81,1.34,0.89,0.87,1.04
b_0,1.2,1.01,1.09,0.98,0.56,0.66,1.2,0.98,0.96,1.1,1.66,1.03,1.28,1.52,1.08,1.11
f_0,0.77,0.91,0.98,0.89,0.98,0.96,1.14,0.95,1.02,1.34,1.31,1.76,1.45,1.27,1.94,1.03
h_0,1.48,1.03,1.07,0.91,1.01,0.77,0.62,1.19,0.97,0.98,1.04,0.9,0.96,0.96,1.02,1.18
a_0,1.32,0.94,1.15,1.13,1.07,0.48,1.09,0.96,1.13,1.2,1.04,0.89,1.39,1.74,0.81,1.19
e_0,1.24,0.69,1.23,0.96,0.99,0.74,1.15,1.31,1.11,1.36,1.2,1.06,1.36,1.56,1.86,1.08
g_0,1.03,0.93,1.47,1.03,0.92,0.74,1.12,0.87,1.16,0.99,1.15,1.48,1.32,1.03,1.24,0.85
